d3mIndex,type,repeat,fold
536,TRAIN,0,0
538,TRAIN,0,0
539,TRAIN,0,0
540,TRAIN,0,0
541,TRAIN,0,0
544,TRAIN,0,0
548,TRAIN,0,0
549,TRAIN,0,0
550,TRAIN,0,0
551,TRAIN,0,0
552,TRAIN,0,0
553,TRAIN,0,0
557,TRAIN,0,0
562,TRAIN,0,0
564,TRAIN,0,0
565,TRAIN,0,0
566,TRAIN,0,0
567,TRAIN,0,0
568,TRAIN,0,0
570,TRAIN,0,0
571,TRAIN,0,0
572,TRAIN,0,0
574,TRAIN,0,0
575,TRAIN,0,0
576,TRAIN,0,0
578,TRAIN,0,0
580,TRAIN,0,0
581,TRAIN,0,0
582,TRAIN,0,0
583,TRAIN,0,0
584,TRAIN,0,0
586,TRAIN,0,0
587,TRAIN,0,0
588,TRAIN,0,0
590,TRAIN,0,0
594,TRAIN,0,0
595,TRAIN,0,0
596,TRAIN,0,0
597,TRAIN,0,0
598,TRAIN,0,0
599,TRAIN,0,0
603,TRAIN,0,0
605,TRAIN,0,0
606,TRAIN,0,0
610,TRAIN,0,0
611,TRAIN,0,0
614,TRAIN,0,0
616,TRAIN,0,0
619,TRAIN,0,0
620,TRAIN,0,0
621,TRAIN,0,0
624,TRAIN,0,0
625,TRAIN,0,0
627,TRAIN,0,0
628,TRAIN,0,0
629,TRAIN,0,0
630,TRAIN,0,0
633,TRAIN,0,0
634,TRAIN,0,0
635,TRAIN,0,0
636,TRAIN,0,0
638,TRAIN,0,0
639,TRAIN,0,0
642,TRAIN,0,0
644,TRAIN,0,0
646,TRAIN,0,0
647,TRAIN,0,0
648,TRAIN,0,0
650,TRAIN,0,0
651,TRAIN,0,0
652,TRAIN,0,0
653,TRAIN,0,0
654,TRAIN,0,0
655,TRAIN,0,0
656,TRAIN,0,0
657,TRAIN,0,0
658,TRAIN,0,0
660,TRAIN,0,0
662,TRAIN,0,0
663,TRAIN,0,0
664,TRAIN,0,0
665,TRAIN,0,0
666,TRAIN,0,0
667,TRAIN,0,0
669,TRAIN,0,0
672,TRAIN,0,0
673,TRAIN,0,0
676,TRAIN,0,0
677,TRAIN,0,0
679,TRAIN,0,0
681,TRAIN,0,0
682,TRAIN,0,0
684,TRAIN,0,0
688,TRAIN,0,0
690,TRAIN,0,0
691,TRAIN,0,0
693,TRAIN,0,0
694,TRAIN,0,0
696,TRAIN,0,0
697,TRAIN,0,0
698,TRAIN,0,0
701,TRAIN,0,0
702,TRAIN,0,0
704,TRAIN,0,0
705,TRAIN,0,0
706,TRAIN,0,0
707,TRAIN,0,0
708,TRAIN,0,0
710,TRAIN,0,0
711,TRAIN,0,0
712,TRAIN,0,0
715,TRAIN,0,0
716,TRAIN,0,0
717,TRAIN,0,0
718,TRAIN,0,0
720,TRAIN,0,0
722,TRAIN,0,0
724,TRAIN,0,0
727,TRAIN,0,0
729,TRAIN,0,0
730,TRAIN,0,0
731,TRAIN,0,0
732,TRAIN,0,0
733,TRAIN,0,0
734,TRAIN,0,0
735,TRAIN,0,0
736,TRAIN,0,0
740,TRAIN,0,0
741,TRAIN,0,0
742,TRAIN,0,0
743,TRAIN,0,0
744,TRAIN,0,0
745,TRAIN,0,0
746,TRAIN,0,0
748,TRAIN,0,0
749,TRAIN,0,0
750,TRAIN,0,0
751,TRAIN,0,0
753,TRAIN,0,0
757,TRAIN,0,0
759,TRAIN,0,0
760,TRAIN,0,0
761,TRAIN,0,0
763,TRAIN,0,0
765,TRAIN,0,0
766,TRAIN,0,0
767,TRAIN,0,0
768,TRAIN,0,0
772,TRAIN,0,0
774,TRAIN,0,0
776,TRAIN,0,0
777,TRAIN,0,0
778,TRAIN,0,0
779,TRAIN,0,0
781,TRAIN,0,0
783,TRAIN,0,0
785,TRAIN,0,0
788,TRAIN,0,0
789,TRAIN,0,0
790,TRAIN,0,0
791,TRAIN,0,0
792,TRAIN,0,0
793,TRAIN,0,0
795,TRAIN,0,0
797,TRAIN,0,0
800,TRAIN,0,0
803,TRAIN,0,0
806,TRAIN,0,0
807,TRAIN,0,0
808,TRAIN,0,0
810,TRAIN,0,0
812,TRAIN,0,0
813,TRAIN,0,0
814,TRAIN,0,0
815,TRAIN,0,0
818,TRAIN,0,0
819,TRAIN,0,0
820,TRAIN,0,0
821,TRAIN,0,0
822,TRAIN,0,0
825,TRAIN,0,0
827,TRAIN,0,0
828,TRAIN,0,0
829,TRAIN,0,0
830,TRAIN,0,0
832,TRAIN,0,0
833,TRAIN,0,0
834,TRAIN,0,0
835,TRAIN,0,0
837,TRAIN,0,0
838,TRAIN,0,0
839,TRAIN,0,0
840,TRAIN,0,0
841,TRAIN,0,0
845,TRAIN,0,0
847,TRAIN,0,0
850,TRAIN,0,0
851,TRAIN,0,0
852,TRAIN,0,0
854,TRAIN,0,0
855,TRAIN,0,0
856,TRAIN,0,0
857,TRAIN,0,0
858,TRAIN,0,0
859,TRAIN,0,0
863,TRAIN,0,0
864,TRAIN,0,0
868,TRAIN,0,0
870,TRAIN,0,0
872,TRAIN,0,0
873,TRAIN,0,0
874,TRAIN,0,0
875,TRAIN,0,0
877,TRAIN,0,0
878,TRAIN,0,0
879,TRAIN,0,0
883,TRAIN,0,0
885,TRAIN,0,0
886,TRAIN,0,0
887,TRAIN,0,0
893,TRAIN,0,0
894,TRAIN,0,0
897,TRAIN,0,0
898,TRAIN,0,0
899,TRAIN,0,0
903,TRAIN,0,0
904,TRAIN,0,0
905,TRAIN,0,0
908,TRAIN,0,0
909,TRAIN,0,0
910,TRAIN,0,0
912,TRAIN,0,0
915,TRAIN,0,0
917,TRAIN,0,0
918,TRAIN,0,0
919,TRAIN,0,0
920,TRAIN,0,0
923,TRAIN,0,0
925,TRAIN,0,0
926,TRAIN,0,0
928,TRAIN,0,0
934,TRAIN,0,0
935,TRAIN,0,0
936,TRAIN,0,0
937,TRAIN,0,0
938,TRAIN,0,0
939,TRAIN,0,0
942,TRAIN,0,0
943,TRAIN,0,0
944,TRAIN,0,0
945,TRAIN,0,0
946,TRAIN,0,0
947,TRAIN,0,0
948,TRAIN,0,0
955,TRAIN,0,0
956,TRAIN,0,0
957,TRAIN,0,0
959,TRAIN,0,0
963,TRAIN,0,0
964,TRAIN,0,0
965,TRAIN,0,0
966,TRAIN,0,0
969,TRAIN,0,0
970,TRAIN,0,0
971,TRAIN,0,0
972,TRAIN,0,0
973,TRAIN,0,0
974,TRAIN,0,0
975,TRAIN,0,0
977,TRAIN,0,0
978,TRAIN,0,0
979,TRAIN,0,0
981,TRAIN,0,0
987,TRAIN,0,0
989,TRAIN,0,0
991,TRAIN,0,0
993,TRAIN,0,0
996,TRAIN,0,0
997,TRAIN,0,0
999,TRAIN,0,0
1001,TRAIN,0,0
1005,TRAIN,0,0
1008,TRAIN,0,0
1010,TRAIN,0,0
1011,TRAIN,0,0
1013,TRAIN,0,0
1014,TRAIN,0,0
1015,TRAIN,0,0
1016,TRAIN,0,0
1018,TRAIN,0,0
1020,TRAIN,0,0
1021,TRAIN,0,0
1022,TRAIN,0,0
1023,TRAIN,0,0
1024,TRAIN,0,0
1025,TRAIN,0,0
1028,TRAIN,0,0
1030,TRAIN,0,0
1031,TRAIN,0,0
1033,TRAIN,0,0
1034,TRAIN,0,0
1035,TRAIN,0,0
1036,TRAIN,0,0
1037,TRAIN,0,0
1038,TRAIN,0,0
1039,TRAIN,0,0
1040,TRAIN,0,0
1041,TRAIN,0,0
1043,TRAIN,0,0
1044,TRAIN,0,0
1048,TRAIN,0,0
1049,TRAIN,0,0
1050,TRAIN,0,0
1052,TRAIN,0,0
1053,TRAIN,0,0
1055,TRAIN,0,0
1057,TRAIN,0,0
1058,TRAIN,0,0
1059,TRAIN,0,0
1061,TRAIN,0,0
1066,TRAIN,0,0
1067,TRAIN,0,0
1068,TRAIN,0,0
1070,TRAIN,0,0
1071,TRAIN,0,0
1073,TRAIN,0,0
1075,TRAIN,0,0
1077,TRAIN,0,0
1078,TRAIN,0,0
1080,TRAIN,0,0
1081,TRAIN,0,0
1082,TRAIN,0,0
1083,TRAIN,0,0
1084,TRAIN,0,0
1085,TRAIN,0,0
1086,TRAIN,0,0
1088,TRAIN,0,0
1089,TRAIN,0,0
1090,TRAIN,0,0
1091,TRAIN,0,0
1092,TRAIN,0,0
1093,TRAIN,0,0
1094,TRAIN,0,0
1095,TRAIN,0,0
1100,TRAIN,0,0
1101,TRAIN,0,0
1102,TRAIN,0,0
1103,TRAIN,0,0
1104,TRAIN,0,0
1105,TRAIN,0,0
1107,TRAIN,0,0
1108,TRAIN,0,0
1109,TRAIN,0,0
1110,TRAIN,0,0
1115,TRAIN,0,0
1117,TRAIN,0,0
1118,TRAIN,0,0
1119,TRAIN,0,0
1120,TRAIN,0,0
1121,TRAIN,0,0
1122,TRAIN,0,0
1123,TRAIN,0,0
1124,TRAIN,0,0
1125,TRAIN,0,0
1126,TRAIN,0,0
1128,TRAIN,0,0
1130,TRAIN,0,0
1131,TRAIN,0,0
1132,TRAIN,0,0
1133,TRAIN,0,0
1134,TRAIN,0,0
1135,TRAIN,0,0
1136,TRAIN,0,0
1138,TRAIN,0,0
1140,TRAIN,0,0
1141,TRAIN,0,0
1143,TRAIN,0,0
1147,TRAIN,0,0
1150,TRAIN,0,0
1151,TRAIN,0,0
1153,TRAIN,0,0
1155,TRAIN,0,0
1156,TRAIN,0,0
1158,TRAIN,0,0
1160,TRAIN,0,0
1161,TRAIN,0,0
1163,TRAIN,0,0
1165,TRAIN,0,0
1168,TRAIN,0,0
1171,TRAIN,0,0
1173,TRAIN,0,0
1175,TRAIN,0,0
1176,TRAIN,0,0
1180,TRAIN,0,0
1183,TRAIN,0,0
1185,TRAIN,0,0
1187,TRAIN,0,0
1188,TRAIN,0,0
1189,TRAIN,0,0
1190,TRAIN,0,0
1193,TRAIN,0,0
1195,TRAIN,0,0
1197,TRAIN,0,0
1199,TRAIN,0,0
1200,TRAIN,0,0
1201,TRAIN,0,0
1205,TRAIN,0,0
1207,TRAIN,0,0
1209,TRAIN,0,0
1214,TRAIN,0,0
1215,TRAIN,0,0
1217,TRAIN,0,0
1219,TRAIN,0,0
1220,TRAIN,0,0
1221,TRAIN,0,0
1222,TRAIN,0,0
1223,TRAIN,0,0
1224,TRAIN,0,0
1225,TRAIN,0,0
1226,TRAIN,0,0
1233,TRAIN,0,0
1234,TRAIN,0,0
1237,TRAIN,0,0
1238,TRAIN,0,0
1240,TRAIN,0,0
1241,TRAIN,0,0
1246,TRAIN,0,0
1249,TRAIN,0,0
1250,TRAIN,0,0
1252,TRAIN,0,0
1253,TRAIN,0,0
1254,TRAIN,0,0
1256,TRAIN,0,0
1257,TRAIN,0,0
1262,TRAIN,0,0
1263,TRAIN,0,0
1266,TRAIN,0,0
1267,TRAIN,0,0
1269,TRAIN,0,0
1271,TRAIN,0,0
1272,TRAIN,0,0
1273,TRAIN,0,0
1276,TRAIN,0,0
1277,TRAIN,0,0
1278,TRAIN,0,0
1280,TRAIN,0,0
1282,TRAIN,0,0
1283,TRAIN,0,0
1285,TRAIN,0,0
1289,TRAIN,0,0
1292,TRAIN,0,0
1294,TRAIN,0,0
1295,TRAIN,0,0
1299,TRAIN,0,0
1301,TRAIN,0,0
1302,TRAIN,0,0
1303,TRAIN,0,0
1304,TRAIN,0,0
1305,TRAIN,0,0
1306,TRAIN,0,0
1310,TRAIN,0,0
1314,TRAIN,0,0
1315,TRAIN,0,0
1318,TRAIN,0,0
1319,TRAIN,0,0
1322,TRAIN,0,0
1323,TRAIN,0,0
1325,TRAIN,0,0
1326,TRAIN,0,0
1327,TRAIN,0,0
1328,TRAIN,0,0
1329,TRAIN,0,0
1330,TRAIN,0,0
1334,TRAIN,0,0
1336,TRAIN,0,0
1337,TRAIN,0,0
1338,TRAIN,0,0
1339,TRAIN,0,0
1343,TRAIN,0,0
1345,TRAIN,0,0
1347,TRAIN,0,0
1349,TRAIN,0,0
1352,TRAIN,0,0
1354,TRAIN,0,0
1355,TRAIN,0,0
1356,TRAIN,0,0
1357,TRAIN,0,0
1358,TRAIN,0,0
1359,TRAIN,0,0
1360,TRAIN,0,0
1362,TRAIN,0,0
1363,TRAIN,0,0
1365,TRAIN,0,0
1367,TRAIN,0,0
1368,TRAIN,0,0
1369,TRAIN,0,0
1370,TRAIN,0,0
1371,TRAIN,0,0
1374,TRAIN,0,0
1376,TRAIN,0,0
1379,TRAIN,0,0
1380,TRAIN,0,0
1381,TRAIN,0,0
1382,TRAIN,0,0
1384,TRAIN,0,0
1385,TRAIN,0,0
1387,TRAIN,0,0
1388,TRAIN,0,0
1389,TRAIN,0,0
1390,TRAIN,0,0
1394,TRAIN,0,0
1395,TRAIN,0,0
1397,TRAIN,0,0
1398,TRAIN,0,0
1399,TRAIN,0,0
1400,TRAIN,0,0
1404,TRAIN,0,0
1405,TRAIN,0,0
1406,TRAIN,0,0
1407,TRAIN,0,0
1408,TRAIN,0,0
1409,TRAIN,0,0
1410,TRAIN,0,0
1411,TRAIN,0,0
1412,TRAIN,0,0
1413,TRAIN,0,0
1414,TRAIN,0,0
1415,TRAIN,0,0
1417,TRAIN,0,0
1419,TRAIN,0,0
1420,TRAIN,0,0
1421,TRAIN,0,0
1422,TRAIN,0,0
1423,TRAIN,0,0
1424,TRAIN,0,0
1426,TRAIN,0,0
1428,TRAIN,0,0
1431,TRAIN,0,0
1433,TRAIN,0,0
1437,TRAIN,0,0
1439,TRAIN,0,0
1441,TRAIN,0,0
1442,TRAIN,0,0
1445,TRAIN,0,0
1447,TRAIN,0,0
1450,TRAIN,0,0
1452,TRAIN,0,0
1453,TRAIN,0,0
1454,TRAIN,0,0
1456,TRAIN,0,0
1457,TRAIN,0,0
1458,TRAIN,0,0
1459,TRAIN,0,0
1461,TRAIN,0,0
1462,TRAIN,0,0
1463,TRAIN,0,0
1467,TRAIN,0,0
1468,TRAIN,0,0
1470,TRAIN,0,0
1471,TRAIN,0,0
1474,TRAIN,0,0
1475,TRAIN,0,0
1476,TRAIN,0,0
1480,TRAIN,0,0
1481,TRAIN,0,0
1482,TRAIN,0,0
1485,TRAIN,0,0
1487,TRAIN,0,0
1488,TRAIN,0,0
1489,TRAIN,0,0
1491,TRAIN,0,0
1492,TRAIN,0,0
1494,TRAIN,0,0
1499,TRAIN,0,0
1500,TRAIN,0,0
1501,TRAIN,0,0
1503,TRAIN,0,0
1506,TRAIN,0,0
1507,TRAIN,0,0
1508,TRAIN,0,0
1509,TRAIN,0,0
1513,TRAIN,0,0
1514,TRAIN,0,0
1516,TRAIN,0,0
1518,TRAIN,0,0
1519,TRAIN,0,0
1520,TRAIN,0,0
1524,TRAIN,0,0
1525,TRAIN,0,0
1527,TRAIN,0,0
1528,TRAIN,0,0
1529,TRAIN,0,0
1531,TRAIN,0,0
1535,TRAIN,0,0
1537,TRAIN,0,0
1538,TRAIN,0,0
1540,TRAIN,0,0
1541,TRAIN,0,0
1548,TRAIN,0,0
1550,TRAIN,0,0
1551,TRAIN,0,0
1553,TRAIN,0,0
1554,TRAIN,0,0
1557,TRAIN,0,0
1558,TRAIN,0,0
1559,TRAIN,0,0
1560,TRAIN,0,0
1566,TRAIN,0,0
1570,TRAIN,0,0
1571,TRAIN,0,0
1572,TRAIN,0,0
1574,TRAIN,0,0
1575,TRAIN,0,0
1576,TRAIN,0,0
1578,TRAIN,0,0
1579,TRAIN,0,0
1581,TRAIN,0,0
1582,TRAIN,0,0
1583,TRAIN,0,0
1584,TRAIN,0,0
1592,TRAIN,0,0
1593,TRAIN,0,0
1594,TRAIN,0,0
1599,TRAIN,0,0
1600,TRAIN,0,0
1601,TRAIN,0,0
1603,TRAIN,0,0
1605,TRAIN,0,0
1606,TRAIN,0,0
1607,TRAIN,0,0
1608,TRAIN,0,0
1609,TRAIN,0,0
1610,TRAIN,0,0
1611,TRAIN,0,0
1612,TRAIN,0,0
1615,TRAIN,0,0
1616,TRAIN,0,0
1617,TRAIN,0,0
1618,TRAIN,0,0
1621,TRAIN,0,0
1622,TRAIN,0,0
1623,TRAIN,0,0
1624,TRAIN,0,0
1626,TRAIN,0,0
1628,TRAIN,0,0
1629,TRAIN,0,0
1630,TRAIN,0,0
1631,TRAIN,0,0
1633,TRAIN,0,0
1634,TRAIN,0,0
1635,TRAIN,0,0
1636,TRAIN,0,0
1637,TRAIN,0,0
1638,TRAIN,0,0
1639,TRAIN,0,0
1640,TRAIN,0,0
1641,TRAIN,0,0
1644,TRAIN,0,0
1645,TRAIN,0,0
1647,TRAIN,0,0
1648,TRAIN,0,0
1649,TRAIN,0,0
1651,TRAIN,0,0
1652,TRAIN,0,0
1653,TRAIN,0,0
1655,TRAIN,0,0
1656,TRAIN,0,0
1657,TRAIN,0,0
1660,TRAIN,0,0
1661,TRAIN,0,0
1664,TRAIN,0,0
1668,TRAIN,0,0
1670,TRAIN,0,0
1671,TRAIN,0,0
1672,TRAIN,0,0
1674,TRAIN,0,0
1680,TRAIN,0,0
1681,TRAIN,0,0
1682,TRAIN,0,0
1684,TRAIN,0,0
1686,TRAIN,0,0
1687,TRAIN,0,0
1690,TRAIN,0,0
1691,TRAIN,0,0
1692,TRAIN,0,0
1694,TRAIN,0,0
1696,TRAIN,0,0
1697,TRAIN,0,0
1698,TRAIN,0,0
1699,TRAIN,0,0
1700,TRAIN,0,0
1703,TRAIN,0,0
1704,TRAIN,0,0
1705,TRAIN,0,0
1706,TRAIN,0,0
1708,TRAIN,0,0
1710,TRAIN,0,0
1711,TRAIN,0,0
1712,TRAIN,0,0
1714,TRAIN,0,0
1715,TRAIN,0,0
1716,TRAIN,0,0
1717,TRAIN,0,0
1720,TRAIN,0,0
1721,TRAIN,0,0
1723,TRAIN,0,0
1726,TRAIN,0,0
1729,TRAIN,0,0
1731,TRAIN,0,0
1732,TRAIN,0,0
1733,TRAIN,0,0
1734,TRAIN,0,0
1736,TRAIN,0,0
1738,TRAIN,0,0
1740,TRAIN,0,0
1742,TRAIN,0,0
1747,TRAIN,0,0
1748,TRAIN,0,0
1749,TRAIN,0,0
1751,TRAIN,0,0
1752,TRAIN,0,0
1754,TRAIN,0,0
1755,TRAIN,0,0
1756,TRAIN,0,0
1757,TRAIN,0,0
1758,TRAIN,0,0
1760,TRAIN,0,0
1761,TRAIN,0,0
1762,TRAIN,0,0
1764,TRAIN,0,0
1769,TRAIN,0,0
1770,TRAIN,0,0
1773,TRAIN,0,0
1774,TRAIN,0,0
1776,TRAIN,0,0
1780,TRAIN,0,0
1781,TRAIN,0,0
1782,TRAIN,0,0
1783,TRAIN,0,0
1784,TRAIN,0,0
1786,TRAIN,0,0
1787,TRAIN,0,0
1791,TRAIN,0,0
1794,TRAIN,0,0
1796,TRAIN,0,0
1797,TRAIN,0,0
1800,TRAIN,0,0
1802,TRAIN,0,0
1803,TRAIN,0,0
1805,TRAIN,0,0
1806,TRAIN,0,0
1807,TRAIN,0,0
1809,TRAIN,0,0
1810,TRAIN,0,0
1811,TRAIN,0,0
1813,TRAIN,0,0
1815,TRAIN,0,0
1816,TRAIN,0,0
1817,TRAIN,0,0
1819,TRAIN,0,0
1820,TRAIN,0,0
1823,TRAIN,0,0
1826,TRAIN,0,0
1828,TRAIN,0,0
1829,TRAIN,0,0
1830,TRAIN,0,0
1833,TRAIN,0,0
1836,TRAIN,0,0
1837,TRAIN,0,0
1838,TRAIN,0,0
1839,TRAIN,0,0
1844,TRAIN,0,0
1845,TRAIN,0,0
1847,TRAIN,0,0
1849,TRAIN,0,0
1853,TRAIN,0,0
1855,TRAIN,0,0
1858,TRAIN,0,0
1860,TRAIN,0,0
1863,TRAIN,0,0
1864,TRAIN,0,0
1867,TRAIN,0,0
1870,TRAIN,0,0
1871,TRAIN,0,0
1874,TRAIN,0,0
1875,TRAIN,0,0
1876,TRAIN,0,0
1877,TRAIN,0,0
1878,TRAIN,0,0
1879,TRAIN,0,0
1880,TRAIN,0,0
1882,TRAIN,0,0
1883,TRAIN,0,0
1884,TRAIN,0,0
1885,TRAIN,0,0
1886,TRAIN,0,0
1887,TRAIN,0,0
1888,TRAIN,0,0
1890,TRAIN,0,0
1892,TRAIN,0,0
1894,TRAIN,0,0
1896,TRAIN,0,0
1898,TRAIN,0,0
1899,TRAIN,0,0
1900,TRAIN,0,0
