d3mIndex,month_id,country_id,country_name,year,month,acled_count_pr,ged_best_ns,ged_best_sb,ln_ged_best_sb,icgcw_deteriorated,icgcw_improved,vdem_e_v2x_polyarchy_5c,vdem_e_wb_pop,vdem_e_wbgi_pve,vdem_e_total_resources_income_pc,time_since_ged_dummy_sb,reign_anticipation,reign_elected,reign_precip,reign_prev_conflict,reign_tenure_months,fvp_prop_excluded,fvp_lnpop200,fvp_lngdp200,fvp_lngdppercapita200,in_africa,yearmonth
35,156,67,Algeria,1992,12,0.0,0.0,41.0,3.73766961828337,1.0,0.0,0.0,27028326.0,-1.78,498.23,0,0.0,0.0,0.0218142877099513,1.0,6.0,0.28,10.21027,12.49424,9.191714,1,1992-12
36,157,67,Algeria,1993,1,0.0,0.0,36.0,3.61091791264422,1.0,0.0,0.0,27635515.0,-1.78,457.21,0,0.0,0.0,-0.43573822339476104,1.0,7.0,0.28,10.232289999999999,12.47301,9.148471,1,1993-1
37,158,67,Algeria,1993,2,0.0,0.0,35.0,3.58351893845611,1.0,0.0,0.0,27635515.0,-1.78,457.21,0,0.0,0.0,-0.29733880824958897,1.0,8.0,0.28,10.232289999999999,12.47301,9.148471,1,1993-2
38,159,67,Algeria,1993,3,0.0,0.0,101.0,4.62497281328427,1.0,0.0,0.0,27635515.0,-1.78,457.21,0,0.0,0.0,-0.584565921897605,1.0,9.0,0.28,10.232289999999999,12.47301,9.148471,1,1993-3
39,160,67,Algeria,1993,4,0.0,0.0,62.0,4.14313472639153,1.0,0.0,0.0,27635515.0,-1.78,457.21,0,0.0,0.0,-0.7408096326475879,1.0,10.0,0.28,10.232289999999999,12.47301,9.148471,1,1993-4
40,161,67,Algeria,1993,5,0.0,0.0,71.0,4.276666119016061,1.0,0.0,0.0,27635515.0,-1.78,457.21,0,0.0,0.0,-0.882011963510881,1.0,11.0,0.28,10.232289999999999,12.47301,9.148471,1,1993-5
41,162,67,Algeria,1993,6,0.0,0.0,44.0,3.80666248977032,1.0,0.0,0.0,27635515.0,-1.78,457.21,0,0.0,0.0,-0.879660576505552,1.0,12.0,0.28,10.232289999999999,12.47301,9.148471,1,1993-6
42,163,67,Algeria,1993,7,0.0,0.0,58.0,4.07753744390572,1.0,0.0,0.0,27635515.0,-1.78,457.21,0,0.0,0.0,-1.15066293462598,1.0,13.0,0.28,10.232289999999999,12.47301,9.148471,1,1993-7
43,164,67,Algeria,1993,8,0.0,0.0,47.0,3.8712010109078903,1.0,0.0,0.0,27635515.0,-1.78,457.21,0,1.0,0.0,-0.99678817725147,1.0,14.0,0.28,10.232289999999999,12.47301,9.148471,1,1993-8
44,165,67,Algeria,1993,9,0.0,0.0,75.0,4.33073334028633,1.0,0.0,0.0,27635515.0,-1.78,457.21,0,1.0,0.0,-0.926637603894673,1.0,15.0,0.28,10.232289999999999,12.47301,9.148471,1,1993-9
45,166,67,Algeria,1993,10,0.0,0.0,58.0,4.07753744390572,1.0,0.0,0.0,27635515.0,-1.78,457.21,0,1.0,0.0,-0.819685985368998,1.0,16.0,0.28,10.232289999999999,12.47301,9.148471,1,1993-10
46,167,67,Algeria,1993,11,0.0,0.0,99.0,4.60517018598809,1.0,0.0,0.0,27635515.0,-1.78,457.21,0,1.0,0.0,-0.35022731857960604,1.0,17.0,0.28,10.232289999999999,12.47301,9.148471,1,1993-11
47,168,67,Algeria,1993,12,0.0,0.0,114.0,4.74493212836325,1.0,0.0,0.0,27635515.0,-1.78,457.21,0,1.0,0.0,-0.491152405782624,1.0,18.0,0.28,10.232289999999999,12.47301,9.148471,1,1993-12
48,169,67,Algeria,1994,1,0.0,0.0,62.0,4.14313472639153,1.0,0.0,0.0,28213774.0,-1.78,393.18,0,1.0,0.0,-0.31451120731001897,1.0,1.0,0.28,10.25281,12.46397,9.118913000000001,1,1994-1
49,170,67,Algeria,1994,2,0.0,0.0,112.0,4.72738781871234,1.0,0.0,0.0,28213774.0,-1.78,393.18,0,1.0,0.0,-0.561759104925199,1.0,2.0,0.28,10.25281,12.46397,9.118913000000001,1,1994-2
50,171,67,Algeria,1994,3,0.0,15.0,300.0,5.70711026474888,1.0,0.0,0.0,28213774.0,-1.78,393.18,0,0.0,0.0,-0.38592560386431,1.0,3.0,0.28,10.25281,12.46397,9.118913000000001,1,1994-3
51,172,67,Algeria,1994,4,0.0,0.0,164.0,5.105945473900579,1.0,0.0,0.0,28213774.0,-1.78,393.18,0,0.0,0.0,-0.33685613807889603,1.0,4.0,0.28,10.25281,12.46397,9.118913000000001,1,1994-4
52,173,67,Algeria,1994,5,0.0,0.0,142.0,4.9628446302599105,1.0,0.0,0.0,28213774.0,-1.78,393.18,0,0.0,0.0,-0.376041770120978,1.0,5.0,0.28,10.25281,12.46397,9.118913000000001,1,1994-5
53,174,67,Algeria,1994,6,0.0,0.0,116.0,4.76217393479776,1.0,0.0,0.0,28213774.0,-1.78,393.18,0,0.0,0.0,-0.397538389035376,1.0,6.0,0.28,10.25281,12.46397,9.118913000000001,1,1994-6
54,175,67,Algeria,1994,7,0.0,0.0,81.0,4.40671924726425,1.0,0.0,0.0,28213774.0,-1.78,393.18,0,0.0,0.0,-0.41627576503446995,1.0,7.0,0.28,10.25281,12.46397,9.118913000000001,1,1994-7
55,176,67,Algeria,1994,8,0.0,0.0,114.0,4.74493212836325,1.0,0.0,0.0,28213774.0,-1.78,393.18,0,0.0,0.0,-0.359568848616182,1.0,8.0,0.28,10.25281,12.46397,9.118913000000001,1,1994-8
56,177,67,Algeria,1994,9,0.0,0.0,166.0,5.11799381241676,1.0,0.0,0.0,28213774.0,-1.78,393.18,0,0.0,0.0,0.0777205639900817,1.0,9.0,0.28,10.25281,12.46397,9.118913000000001,1,1994-9
57,178,67,Algeria,1994,10,0.0,0.0,207.0,5.3375380797013205,1.0,0.0,0.0,28213774.0,-1.78,393.18,0,0.0,0.0,0.651681135845715,1.0,10.0,0.28,10.25281,12.46397,9.118913000000001,1,1994-10
58,179,67,Algeria,1994,11,0.0,0.0,290.0,5.67332326717149,1.0,0.0,0.0,28213774.0,-1.78,393.18,0,0.0,0.0,0.25683993334995897,1.0,11.0,0.28,10.25281,12.46397,9.118913000000001,1,1994-11
59,180,67,Algeria,1994,12,0.0,0.0,162.0,5.09375020080676,1.0,0.0,0.0,28213774.0,-1.78,393.18,0,0.0,0.0,0.22577481143325898,1.0,12.0,0.28,10.25281,12.46397,9.118913000000001,1,1994-12
60,181,67,Algeria,1995,1,0.0,0.0,154.0,5.04342511691925,1.0,0.0,0.0,28757785.0,-1.78,387.77,0,0.0,0.0,0.201438606037009,1.0,13.0,0.28,10.27175,12.50127,9.137277000000001,1,1995-1
61,182,67,Algeria,1995,2,0.0,0.0,205.0,5.3278761687895795,1.0,0.0,0.0,28757785.0,-1.78,387.77,0,0.0,0.0,0.144300489712796,1.0,14.0,0.28,10.27175,12.50127,9.137277000000001,1,1995-2
62,183,67,Algeria,1995,3,0.0,0.0,857.0,6.754604099487961,1.0,0.0,0.0,28757785.0,-1.78,387.77,0,0.0,0.0,0.29774149995805,1.0,15.0,0.28,10.27175,12.50127,9.137277000000001,1,1995-3
63,184,67,Algeria,1995,4,0.0,27.0,203.0,5.31811999384422,1.0,0.0,0.0,28757785.0,-1.78,387.77,0,0.0,0.0,0.38014352888185904,1.0,16.0,0.28,10.27175,12.50127,9.137277000000001,1,1995-4
64,185,67,Algeria,1995,5,0.0,24.0,241.0,5.48893772615669,1.0,0.0,0.0,28757785.0,-1.78,387.77,0,1.0,0.0,0.34127700711570896,1.0,17.0,0.28,10.27175,12.50127,9.137277000000001,1,1995-5
65,186,67,Algeria,1995,6,0.0,0.0,91.0,4.5217885770490405,1.0,0.0,0.0,28757785.0,-1.78,387.77,0,1.0,0.0,0.442842337548524,1.0,18.0,0.28,10.27175,12.50127,9.137277000000001,1,1995-6
66,187,67,Algeria,1995,7,0.0,0.0,222.0,5.407171771460121,1.0,0.0,0.0,28757785.0,-1.78,387.77,0,1.0,0.0,0.413660310764442,1.0,19.0,0.28,10.27175,12.50127,9.137277000000001,1,1995-7
67,188,67,Algeria,1995,8,0.0,0.0,207.0,5.3375380797013205,1.0,0.0,0.0,28757785.0,-1.78,387.77,0,1.0,0.0,0.322169078876365,1.0,20.0,0.28,10.27175,12.50127,9.137277000000001,1,1995-8
68,189,67,Algeria,1995,9,0.0,0.0,177.0,5.1817835502920895,1.0,0.0,0.0,28757785.0,-1.78,387.77,0,1.0,0.0,0.129260669830485,1.0,21.0,0.28,10.27175,12.50127,9.137277000000001,1,1995-9
69,190,67,Algeria,1995,10,0.0,0.0,281.0,5.64190707093811,1.0,0.0,0.0,28757785.0,-1.78,387.77,0,1.0,0.0,-0.212511150027543,1.0,22.0,0.28,10.27175,12.50127,9.137277000000001,1,1995-10
70,191,67,Algeria,1995,11,0.0,0.0,132.0,4.89034912822175,1.0,0.0,0.0,28757785.0,-1.78,387.77,0,1.0,1.0,-0.262861003595642,1.0,23.0,0.28,10.27175,12.50127,9.137277000000001,1,1995-11
71,192,67,Algeria,1995,12,0.0,0.0,238.0,5.47646355193151,1.0,0.0,0.0,28757785.0,-1.78,387.77,0,0.0,1.0,0.005176788510620671,1.0,24.0,0.28,10.27175,12.50127,9.137277000000001,1,1995-12
72,193,67,Algeria,1996,1,0.0,0.0,139.0,4.9416424226093,1.0,0.0,0.25,29266405.0,-1.78,508.6,0,0.0,1.0,0.0873600610041617,1.0,25.0,0.28,10.28915,12.54145,9.160067,1,1996-1
73,194,67,Algeria,1996,2,0.0,0.0,95.0,4.56434819146784,1.0,0.0,0.25,29266405.0,-1.78,508.6,0,0.0,1.0,0.5218056511658,1.0,26.0,0.28,10.28915,12.54145,9.160067,1,1996-2
74,195,67,Algeria,1996,3,0.0,0.0,32.0,3.49650756146648,1.0,0.0,0.25,29266405.0,-1.78,508.6,0,0.0,1.0,0.859594512104707,1.0,27.0,0.28,10.28915,12.54145,9.160067,1,1996-3
75,196,67,Algeria,1996,4,0.0,0.0,56.0,4.043051267834549,1.0,0.0,0.25,29266405.0,-1.78,508.6,0,0.0,1.0,1.07646581644059,1.0,28.0,0.28,10.28915,12.54145,9.160067,1,1996-4
76,197,67,Algeria,1996,5,0.0,0.0,41.0,3.73766961828337,1.0,0.0,0.25,29266405.0,-1.78,508.6,0,0.0,1.0,1.16393981774372,1.0,29.0,0.28,10.28915,12.54145,9.160067,1,1996-5
77,198,67,Algeria,1996,6,0.0,0.0,61.0,4.12713438504509,1.0,0.0,0.25,29266405.0,-1.78,508.6,0,0.0,1.0,1.37686902064951,1.0,30.0,0.28,10.28915,12.54145,9.160067,1,1996-6
78,199,67,Algeria,1996,7,0.0,0.0,24.0,3.2188758248682006,1.0,0.0,0.25,29266405.0,-1.78,508.6,0,0.0,1.0,1.41141863922068,1.0,31.0,0.28,10.28915,12.54145,9.160067,1,1996-7
79,200,67,Algeria,1996,8,0.0,0.0,436.0,6.07993319509559,1.0,0.0,0.25,29266405.0,-1.78,508.6,0,0.0,1.0,1.4139882269331898,1.0,32.0,0.28,10.28915,12.54145,9.160067,1,1996-8
80,201,67,Algeria,1996,9,0.0,0.0,22.0,3.13549421592915,1.0,0.0,0.25,29266405.0,-1.78,508.6,0,0.0,1.0,1.33850193661881,1.0,33.0,0.28,10.28915,12.54145,9.160067,1,1996-9
81,202,67,Algeria,1996,10,0.0,0.0,63.0,4.15888308335967,1.0,0.0,0.25,29266405.0,-1.78,508.6,0,0.0,1.0,1.00281578819105,1.0,34.0,0.28,10.28915,12.54145,9.160067,1,1996-10
82,203,67,Algeria,1996,11,0.0,0.0,24.0,3.2188758248682006,1.0,0.0,0.25,29266405.0,-1.78,508.6,0,0.0,1.0,0.9432373486763421,1.0,35.0,0.28,10.28915,12.54145,9.160067,1,1996-11
83,204,67,Algeria,1996,12,0.0,0.0,91.0,4.5217885770490405,1.0,0.0,0.25,29266405.0,-1.78,508.6,0,0.0,1.0,0.7972559410156609,1.0,36.0,0.28,10.28915,12.54145,9.160067,1,1996-12
84,205,67,Algeria,1997,1,0.0,0.0,8.0,2.19722457733622,1.0,0.0,0.25,29742979.0,-1.828,520.9,0,0.0,1.0,0.7058657908049101,1.0,37.0,0.28,10.3052,12.552389999999999,9.154971000000002,1,1997-1
85,206,67,Algeria,1997,2,0.0,0.0,199.0,5.29831736654804,1.0,0.0,0.25,29742979.0,-1.828,520.9,0,0.0,1.0,0.13995968469109,1.0,38.0,0.28,10.3052,12.552389999999999,9.154971000000002,1,1997-2
86,207,67,Algeria,1997,3,0.0,0.0,116.0,4.76217393479776,1.0,0.0,0.25,29742979.0,-1.828,520.9,0,0.0,1.0,-0.705626442314419,1.0,39.0,0.28,10.3052,12.552389999999999,9.154971000000002,1,1997-3
87,208,67,Algeria,1997,4,0.0,0.0,99.0,4.60517018598809,1.0,0.0,0.25,29742979.0,-1.828,520.9,0,0.0,1.0,-0.764890446776588,1.0,40.0,0.28,10.3052,12.552389999999999,9.154971000000002,1,1997-4
88,209,67,Algeria,1997,5,0.0,0.0,173.0,5.15905529921453,1.0,0.0,0.25,29742979.0,-1.828,520.9,0,0.0,1.0,-0.8929495925654181,1.0,41.0,0.28,10.3052,12.552389999999999,9.154971000000002,1,1997-5
89,210,67,Algeria,1997,6,0.0,0.0,47.0,3.8712010109078903,1.0,0.0,0.25,29742979.0,-1.828,520.9,0,0.0,1.0,-1.28014980650584,1.0,42.0,0.28,10.3052,12.552389999999999,9.154971000000002,1,1997-6
90,211,67,Algeria,1997,7,0.0,0.0,81.0,4.40671924726425,1.0,0.0,0.25,29742979.0,-1.828,520.9,0,0.0,1.0,-1.2446573905045,1.0,43.0,0.28,10.3052,12.552389999999999,9.154971000000002,1,1997-7
91,212,67,Algeria,1997,8,0.0,0.0,61.0,4.12713438504509,1.0,0.0,0.25,29742979.0,-1.828,520.9,0,0.0,1.0,-0.9197071153259609,1.0,44.0,0.28,10.3052,12.552389999999999,9.154971000000002,1,1997-8
92,213,67,Algeria,1997,9,0.0,0.0,265.0,5.5834963087817,1.0,0.0,0.25,29742979.0,-1.828,520.9,0,0.0,1.0,-0.665226642154616,1.0,45.0,0.28,10.3052,12.552389999999999,9.154971000000002,1,1997-9
93,214,67,Algeria,1997,10,0.0,0.0,123.0,4.820281565605041,1.0,0.0,0.25,29742979.0,-1.828,520.9,0,0.0,1.0,-0.18549276257533603,1.0,46.0,0.28,10.3052,12.552389999999999,9.154971000000002,1,1997-10
94,215,67,Algeria,1997,11,0.0,0.0,36.0,3.61091791264422,1.0,0.0,0.25,29742979.0,-1.828,520.9,0,0.0,1.0,0.0136877079188894,1.0,47.0,0.28,10.3052,12.552389999999999,9.154971000000002,1,1997-11
95,216,67,Algeria,1997,12,0.0,250.0,195.0,5.2781146592305195,1.0,0.0,0.25,29742979.0,-1.828,520.9,0,0.0,1.0,0.0387615396293287,1.0,48.0,0.28,10.3052,12.552389999999999,9.154971000000002,1,1997-12
96,217,67,Algeria,1998,1,0.0,12.0,154.0,5.04342511691925,1.0,0.0,0.25,30192754.0,-1.876,396.93,0,0.0,1.0,-0.0839121535542628,1.0,49.0,0.28,10.32012,12.60213,9.189805,1,1998-1
97,218,67,Algeria,1998,2,0.0,0.0,305.0,5.72358510195238,1.0,0.0,0.25,30192754.0,-1.876,396.93,0,0.0,1.0,0.0223507591979514,1.0,50.0,0.28,10.32012,12.60213,9.189805,1,1998-2
98,219,67,Algeria,1998,3,0.0,0.0,362.0,5.89440283426485,1.0,0.0,0.25,30192754.0,-1.876,396.93,0,0.0,1.0,0.0975879883749217,1.0,51.0,0.28,10.32012,12.60213,9.189805,1,1998-3
99,220,67,Algeria,1998,4,0.0,66.0,271.0,5.605802066296,1.0,0.0,0.25,30192754.0,-1.876,396.93,0,0.0,1.0,-0.147897661059699,1.0,52.0,0.28,10.32012,12.60213,9.189805,1,1998-4
100,221,67,Algeria,1998,5,0.0,0.0,657.0,6.48920493132532,1.0,0.0,0.25,30192754.0,-1.876,396.93,0,0.0,1.0,0.00786213265990138,1.0,53.0,0.28,10.32012,12.60213,9.189805,1,1998-5
101,222,67,Algeria,1998,6,1.0,56.0,329.0,5.79909265446053,1.0,0.0,0.25,30192754.0,-1.876,396.93,0,0.0,1.0,-0.0274817079870265,1.0,54.0,0.28,10.32012,12.60213,9.189805,1,1998-6
102,223,67,Algeria,1998,7,0.0,0.0,140.0,4.94875989037817,1.0,0.0,0.25,30192754.0,-1.876,396.93,0,0.0,1.0,-0.0339243007672571,1.0,55.0,0.28,10.32012,12.60213,9.189805,1,1998-7
103,224,67,Algeria,1998,8,0.0,0.0,148.0,5.00394630594546,1.0,0.0,0.25,30192754.0,-1.876,396.93,0,0.0,1.0,-0.286189032796284,1.0,56.0,0.28,10.32012,12.60213,9.189805,1,1998-8
104,225,67,Algeria,1998,9,0.0,1.0,159.0,5.07517381523383,1.0,0.0,0.25,30192754.0,-1.876,396.93,0,0.0,1.0,-0.649674936993069,1.0,57.0,0.28,10.32012,12.60213,9.189805,1,1998-9
105,226,67,Algeria,1998,10,0.0,0.0,306.0,5.7268477475872,1.0,0.0,0.25,30192754.0,-1.876,396.93,0,1.0,1.0,-1.03508841548288,1.0,58.0,0.28,10.32012,12.60213,9.189805,1,1998-10
106,227,67,Algeria,1998,11,0.0,0.0,78.0,4.36944785246702,1.0,0.0,0.25,30192754.0,-1.876,396.93,0,1.0,1.0,-1.1700253689621798,1.0,59.0,0.28,10.32012,12.60213,9.189805,1,1998-11
107,228,67,Algeria,1998,12,0.0,8.0,123.0,4.820281565605041,1.0,0.0,0.25,30192754.0,-1.876,396.93,0,1.0,1.0,-1.1612121908949,1.0,60.0,0.28,10.32012,12.60213,9.189805,1,1998-12
108,229,67,Algeria,1999,1,0.0,0.0,200.0,5.30330490805908,1.0,0.0,0.25,30623406.0,-1.6540000000000001,474.53,0,1.0,1.0,-0.318527538049303,1.0,61.0,0.28,10.33418,12.63363,9.207232000000001,1,1999-1
109,230,67,Algeria,1999,2,0.0,0.0,96.0,4.57471097850338,1.0,0.0,0.25,30623406.0,-1.6540000000000001,474.53,0,1.0,1.0,-0.23259573429182398,1.0,62.0,0.28,10.33418,12.63363,9.207232000000001,1,1999-2
110,231,67,Algeria,1999,3,0.0,0.0,124.0,4.8283137373023,1.0,0.0,0.25,30623406.0,-1.6540000000000001,474.53,0,1.0,1.0,-0.09111697463941401,1.0,63.0,0.28,10.33418,12.63363,9.207232000000001,1,1999-3
111,232,67,Algeria,1999,4,0.0,0.0,86.0,4.46590811865458,1.0,0.0,0.25,30623406.0,-1.6540000000000001,474.53,0,1.0,1.0,-0.15527275034628898,1.0,1.0,0.28,10.33418,12.63363,9.207232000000001,1,1999-4
112,233,67,Algeria,1999,5,0.0,0.0,131.0,4.88280192258637,1.0,0.0,0.25,30623406.0,-1.6540000000000001,474.53,0,0.0,1.0,-0.16188937398653,1.0,2.0,0.28,10.33418,12.63363,9.207232000000001,1,1999-5
113,234,67,Algeria,1999,6,0.0,0.0,67.0,4.21950770517611,1.0,0.0,0.25,30623406.0,-1.6540000000000001,474.53,0,0.0,1.0,-0.253855206648189,1.0,3.0,0.28,10.33418,12.63363,9.207232000000001,1,1999-6
114,235,67,Algeria,1999,7,0.0,0.0,47.0,3.8712010109078903,1.0,0.0,0.25,30623406.0,-1.6540000000000001,474.53,0,0.0,1.0,-0.26383438389352604,1.0,4.0,0.28,10.33418,12.63363,9.207232000000001,1,1999-7
