d3mIndex,RegionName,ZoneName,WoredaName,dateTime,Malnutrition_total Cases
248,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda02,2019-05-31,1
249,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda02,2019-06-30,0
263,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda03,2019-01-31,13
264,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda03,2019-02-28,6
265,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda03,2019-03-31,11
266,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda03,2019-04-30,2
267,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda03,2019-05-31,1
268,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda03,2019-06-30,1
282,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda04,2019-01-31,1
283,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda04,2019-02-28,1
284,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda04,2019-03-31,0
285,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda04,2019-04-30,0
286,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda04,2019-05-31,2
287,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda04,2019-06-30,3
301,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda05,2019-01-31,1
302,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda05,2019-02-28,8
303,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda05,2019-03-31,3
304,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda05,2019-04-30,2
305,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda05,2019-05-31,0
306,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda05,2019-06-30,0
320,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda07,2019-01-31,0
321,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda07,2019-02-28,0
322,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda07,2019-03-31,0
323,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda07,2019-04-30,0
324,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda07,2019-05-31,0
325,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda07,2019-06-30,0
339,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda08,2019-01-31,0
340,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda08,2019-02-28,0
341,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda08,2019-03-31,0
342,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda08,2019-04-30,0
343,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda08,2019-05-31,0
344,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda08,2019-06-30,0
358,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda09,2019-01-31,0
359,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda09,2019-02-28,0
360,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda09,2019-03-31,0
361,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda09,2019-04-30,2
362,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda09,2019-05-31,1
363,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda09,2019-06-30,0
377,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda11,2019-01-31,0
378,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda11,2019-02-28,0
379,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda11,2019-03-31,0
380,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda11,2019-04-30,0
381,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda11,2019-05-31,0
382,Addis Ababa,Akaki Kaliti,Akaki Kaliti Woreda11,2019-06-30,0
396,Addis Ababa,Akaki Kaliti,Akaki Kaliti woreda06,2019-01-31,6
397,Addis Ababa,Akaki Kaliti,Akaki Kaliti woreda06,2019-02-28,8
398,Addis Ababa,Akaki Kaliti,Akaki Kaliti woreda06,2019-03-31,5
399,Addis Ababa,Akaki Kaliti,Akaki Kaliti woreda06,2019-04-30,4
400,Addis Ababa,Akaki Kaliti,Akaki Kaliti woreda06,2019-05-31,3
401,Addis Ababa,Akaki Kaliti,Akaki Kaliti woreda06,2019-06-30,8
415,Addis Ababa,Akaki Kaliti,Akaki kaliti Woreda10,2019-01-31,0
416,Addis Ababa,Akaki Kaliti,Akaki kaliti Woreda10,2019-02-28,0
417,Addis Ababa,Akaki Kaliti,Akaki kaliti Woreda10,2019-03-31,0
418,Addis Ababa,Akaki Kaliti,Akaki kaliti Woreda10,2019-04-30,0
419,Addis Ababa,Akaki Kaliti,Akaki kaliti Woreda10,2019-05-31,0
420,Addis Ababa,Akaki Kaliti,Akaki kaliti Woreda10,2019-06-30,0
445,Addis Ababa,Akaki Kaliti,Tirunesh Bejing Hospital,2019-01-31,5
446,Addis Ababa,Akaki Kaliti,Tirunesh Bejing Hospital,2019-02-28,10
447,Addis Ababa,Akaki Kaliti,Tirunesh Bejing Hospital,2019-03-31,9
448,Addis Ababa,Akaki Kaliti,Tirunesh Bejing Hospital,2019-04-30,13
449,Addis Ababa,Akaki Kaliti,Tirunesh Bejing Hospital,2019-05-31,5
450,Addis Ababa,Akaki Kaliti,Tirunesh Bejing Hospital,2019-06-30,6
475,Addis Ababa,Arada,Arada Woreda01,2019-01-31,1
476,Addis Ababa,Arada,Arada Woreda01,2019-02-28,0
477,Addis Ababa,Arada,Arada Woreda01,2019-03-31,1
478,Addis Ababa,Arada,Arada Woreda01,2019-04-30,1
479,Addis Ababa,Arada,Arada Woreda01,2019-05-31,0
480,Addis Ababa,Arada,Arada Woreda01,2019-06-30,0
494,Addis Ababa,Arada,Arada Woreda02,2019-01-31,1
495,Addis Ababa,Arada,Arada Woreda02,2019-02-28,0
496,Addis Ababa,Arada,Arada Woreda02,2019-03-31,0
497,Addis Ababa,Arada,Arada Woreda02,2019-04-30,0
498,Addis Ababa,Arada,Arada Woreda02,2019-05-31,7
499,Addis Ababa,Arada,Arada Woreda02,2019-06-30,1
513,Addis Ababa,Arada,Arada Woreda03,2019-01-31,0
514,Addis Ababa,Arada,Arada Woreda03,2019-02-28,0
515,Addis Ababa,Arada,Arada Woreda03,2019-03-31,0
516,Addis Ababa,Arada,Arada Woreda03,2019-04-30,0
517,Addis Ababa,Arada,Arada Woreda03,2019-05-31,0
518,Addis Ababa,Arada,Arada Woreda03,2019-06-30,0
532,Addis Ababa,Arada,Arada Woreda04,2019-01-31,0
533,Addis Ababa,Arada,Arada Woreda04,2019-02-28,0
534,Addis Ababa,Arada,Arada Woreda04,2019-03-31,2
535,Addis Ababa,Arada,Arada Woreda04,2019-04-30,0
536,Addis Ababa,Arada,Arada Woreda04,2019-05-31,0
537,Addis Ababa,Arada,Arada Woreda04,2019-06-30,0
551,Addis Ababa,Arada,Arada Woreda05,2019-01-31,0
552,Addis Ababa,Arada,Arada Woreda05,2019-02-28,0
553,Addis Ababa,Arada,Arada Woreda05,2019-03-31,0
554,Addis Ababa,Arada,Arada Woreda05,2019-04-30,0
555,Addis Ababa,Arada,Arada Woreda05,2019-05-31,0
556,Addis Ababa,Arada,Arada Woreda05,2019-06-30,0
570,Addis Ababa,Arada,Arada Woreda06,2019-01-31,0
571,Addis Ababa,Arada,Arada Woreda06,2019-02-28,4
572,Addis Ababa,Arada,Arada Woreda06,2019-03-31,2
573,Addis Ababa,Arada,Arada Woreda06,2019-04-30,3
574,Addis Ababa,Arada,Arada Woreda06,2019-05-31,0
575,Addis Ababa,Arada,Arada Woreda06,2019-06-30,0
589,Addis Ababa,Arada,Arada Woreda07,2019-01-31,1
590,Addis Ababa,Arada,Arada Woreda07,2019-02-28,0
591,Addis Ababa,Arada,Arada Woreda07,2019-03-31,0
592,Addis Ababa,Arada,Arada Woreda07,2019-04-30,0
593,Addis Ababa,Arada,Arada Woreda07,2019-05-31,2
594,Addis Ababa,Arada,Arada Woreda07,2019-06-30,0
608,Addis Ababa,Arada,Arada Woreda08,2019-01-31,0
609,Addis Ababa,Arada,Arada Woreda08,2019-02-28,0
610,Addis Ababa,Arada,Arada Woreda08,2019-03-31,1
611,Addis Ababa,Arada,Arada Woreda08,2019-04-30,1
612,Addis Ababa,Arada,Arada Woreda08,2019-05-31,0
613,Addis Ababa,Arada,Arada Woreda08,2019-06-30,0
627,Addis Ababa,Arada,Arada Woreda09,2019-01-31,0
628,Addis Ababa,Arada,Arada Woreda09,2019-02-28,0
629,Addis Ababa,Arada,Arada Woreda09,2019-03-31,0
630,Addis Ababa,Arada,Arada Woreda09,2019-04-30,0
631,Addis Ababa,Arada,Arada Woreda09,2019-05-31,0
632,Addis Ababa,Arada,Arada Woreda09,2019-06-30,0
646,Addis Ababa,Arada,Arada Woreda10,2019-01-31,0
647,Addis Ababa,Arada,Arada Woreda10,2019-02-28,1
648,Addis Ababa,Arada,Arada Woreda10,2019-03-31,4
649,Addis Ababa,Arada,Arada Woreda10,2019-04-30,0
650,Addis Ababa,Arada,Arada Woreda10,2019-05-31,0
651,Addis Ababa,Arada,Arada Woreda10,2019-06-30,0
676,Addis Ababa,Arada,Ras Desta Damitew Hospital,2019-01-31,0
677,Addis Ababa,Arada,Ras Desta Damitew Hospital,2019-02-28,0
678,Addis Ababa,Arada,Ras Desta Damitew Hospital,2019-03-31,0
679,Addis Ababa,Arada,Ras Desta Damitew Hospital,2019-04-30,0
680,Addis Ababa,Arada,Ras Desta Damitew Hospital,2019-05-31,0
681,Addis Ababa,Arada,Ras Desta Damitew Hospital,2019-06-30,0
706,Addis Ababa,Arada,Yekatit 12 Hospital,2019-01-31,14
707,Addis Ababa,Arada,Yekatit 12 Hospital,2019-02-28,66
708,Addis Ababa,Arada,Yekatit 12 Hospital,2019-03-31,82
709,Addis Ababa,Arada,Yekatit 12 Hospital,2019-04-30,107
710,Addis Ababa,Arada,Yekatit 12 Hospital,2019-05-31,121
711,Addis Ababa,Arada,Yekatit 12 Hospital,2019-06-30,60
736,Addis Ababa,Bole,Bole Woreda01,2019-01-31,0
737,Addis Ababa,Bole,Bole Woreda01,2019-02-28,0
738,Addis Ababa,Bole,Bole Woreda01,2019-03-31,0
739,Addis Ababa,Bole,Bole Woreda01,2019-04-30,0
740,Addis Ababa,Bole,Bole Woreda01,2019-05-31,0
741,Addis Ababa,Bole,Bole Woreda01,2019-06-30,0
755,Addis Ababa,Bole,Bole Woreda02,2019-01-31,0
756,Addis Ababa,Bole,Bole Woreda02,2019-02-28,2
757,Addis Ababa,Bole,Bole Woreda02,2019-03-31,1
758,Addis Ababa,Bole,Bole Woreda02,2019-04-30,0
759,Addis Ababa,Bole,Bole Woreda02,2019-05-31,4
760,Addis Ababa,Bole,Bole Woreda02,2019-06-30,1
774,Addis Ababa,Bole,Bole Woreda03,2019-01-31,0
775,Addis Ababa,Bole,Bole Woreda03,2019-02-28,0
776,Addis Ababa,Bole,Bole Woreda03,2019-03-31,0
777,Addis Ababa,Bole,Bole Woreda03,2019-04-30,1
778,Addis Ababa,Bole,Bole Woreda03,2019-05-31,1
779,Addis Ababa,Bole,Bole Woreda03,2019-06-30,0
793,Addis Ababa,Bole,Bole Woreda04,2019-01-31,0
794,Addis Ababa,Bole,Bole Woreda04,2019-02-28,0
795,Addis Ababa,Bole,Bole Woreda04,2019-03-31,0
796,Addis Ababa,Bole,Bole Woreda04,2019-04-30,0
797,Addis Ababa,Bole,Bole Woreda04,2019-05-31,0
798,Addis Ababa,Bole,Bole Woreda04,2019-06-30,0
812,Addis Ababa,Bole,Bole Woreda05,2019-01-31,0
813,Addis Ababa,Bole,Bole Woreda05,2019-02-28,0
814,Addis Ababa,Bole,Bole Woreda05,2019-03-31,0
815,Addis Ababa,Bole,Bole Woreda05,2019-04-30,0
816,Addis Ababa,Bole,Bole Woreda05,2019-05-31,0
817,Addis Ababa,Bole,Bole Woreda05,2019-06-30,0
831,Addis Ababa,Bole,Bole Woreda06,2019-01-31,0
832,Addis Ababa,Bole,Bole Woreda06,2019-02-28,0
833,Addis Ababa,Bole,Bole Woreda06,2019-03-31,0
834,Addis Ababa,Bole,Bole Woreda06,2019-04-30,0
835,Addis Ababa,Bole,Bole Woreda06,2019-05-31,0
836,Addis Ababa,Bole,Bole Woreda06,2019-06-30,0
850,Addis Ababa,Bole,Bole Woreda07,2019-01-31,0
851,Addis Ababa,Bole,Bole Woreda07,2019-02-28,0
852,Addis Ababa,Bole,Bole Woreda07,2019-03-31,0
853,Addis Ababa,Bole,Bole Woreda07,2019-04-30,0
854,Addis Ababa,Bole,Bole Woreda07,2019-05-31,0
855,Addis Ababa,Bole,Bole Woreda07,2019-06-30,0
869,Addis Ababa,Bole,Bole Woreda08,2019-01-31,0
870,Addis Ababa,Bole,Bole Woreda08,2019-02-28,0
871,Addis Ababa,Bole,Bole Woreda08,2019-03-31,2
872,Addis Ababa,Bole,Bole Woreda08,2019-04-30,0
873,Addis Ababa,Bole,Bole Woreda08,2019-05-31,0
874,Addis Ababa,Bole,Bole Woreda08,2019-06-30,0
888,Addis Ababa,Bole,Bole Woreda09,2019-01-31,1
889,Addis Ababa,Bole,Bole Woreda09,2019-02-28,1
890,Addis Ababa,Bole,Bole Woreda09,2019-03-31,1
891,Addis Ababa,Bole,Bole Woreda09,2019-04-30,0
892,Addis Ababa,Bole,Bole Woreda09,2019-05-31,1
893,Addis Ababa,Bole,Bole Woreda09,2019-06-30,2
907,Addis Ababa,Bole,Bole Woreda10,2019-01-31,0
908,Addis Ababa,Bole,Bole Woreda10,2019-02-28,1
909,Addis Ababa,Bole,Bole Woreda10,2019-03-31,1
910,Addis Ababa,Bole,Bole Woreda10,2019-04-30,0
911,Addis Ababa,Bole,Bole Woreda10,2019-05-31,0
912,Addis Ababa,Bole,Bole Woreda10,2019-06-30,0
926,Addis Ababa,Bole,Bole Woreda11,2019-01-31,1
927,Addis Ababa,Bole,Bole Woreda11,2019-02-28,0
928,Addis Ababa,Bole,Bole Woreda11,2019-03-31,0
929,Addis Ababa,Bole,Bole Woreda11,2019-04-30,0
930,Addis Ababa,Bole,Bole Woreda11,2019-05-31,0
931,Addis Ababa,Bole,Bole Woreda11,2019-06-30,0
945,Addis Ababa,Bole,Bole Woreda12,2019-01-31,0
946,Addis Ababa,Bole,Bole Woreda12,2019-02-28,1
947,Addis Ababa,Bole,Bole Woreda12,2019-03-31,6
948,Addis Ababa,Bole,Bole Woreda12,2019-04-30,2
949,Addis Ababa,Bole,Bole Woreda12,2019-05-31,0
950,Addis Ababa,Bole,Bole Woreda12,2019-06-30,0
964,Addis Ababa,Bole,Bole Woreda13,2019-01-31,0
965,Addis Ababa,Bole,Bole Woreda13,2019-02-28,1
966,Addis Ababa,Bole,Bole Woreda13,2019-03-31,13
967,Addis Ababa,Bole,Bole Woreda13,2019-04-30,2
968,Addis Ababa,Bole,Bole Woreda13,2019-05-31,2
969,Addis Ababa,Bole,Bole Woreda13,2019-06-30,0
983,Addis Ababa,Bole,Bole Woreda14,2019-01-31,0
984,Addis Ababa,Bole,Bole Woreda14,2019-02-28,0
985,Addis Ababa,Bole,Bole Woreda14,2019-03-31,0
986,Addis Ababa,Bole,Bole Woreda14,2019-04-30,0
987,Addis Ababa,Bole,Bole Woreda14,2019-05-31,0
988,Addis Ababa,Bole,Bole Woreda14,2019-06-30,0
992,Addis Ababa,Bole,Bole Woreda15,2019-01-31,0
993,Addis Ababa,Bole,Bole Woreda15,2019-02-28,0
994,Addis Ababa,Bole,Bole Woreda15,2019-03-31,0
995,Addis Ababa,Bole,Bole Woreda15,2019-04-30,0
996,Addis Ababa,Bole,Bole Woreda15,2019-05-31,0
997,Addis Ababa,Bole,Bole Woreda15,2019-06-30,1
1033,Addis Ababa,Chirkos,Gandi Mem Hos[pital,2019-01-31,0
1034,Addis Ababa,Chirkos,Gandi Mem Hos[pital,2019-02-28,0
1035,Addis Ababa,Chirkos,Gandi Mem Hos[pital,2019-03-31,0
1036,Addis Ababa,Chirkos,Gandi Mem Hos[pital,2019-04-30,0
1037,Addis Ababa,Chirkos,Gandi Mem Hos[pital,2019-05-31,0
1038,Addis Ababa,Chirkos,Gandi Mem Hos[pital,2019-06-30,0
1052,Addis Ababa,Chirkos,Kirkos Woreda01,2019-01-31,0
1053,Addis Ababa,Chirkos,Kirkos Woreda01,2019-02-28,0
1054,Addis Ababa,Chirkos,Kirkos Woreda01,2019-03-31,0
1055,Addis Ababa,Chirkos,Kirkos Woreda01,2019-04-30,0
1056,Addis Ababa,Chirkos,Kirkos Woreda01,2019-05-31,0
1057,Addis Ababa,Chirkos,Kirkos Woreda01,2019-06-30,0
1071,Addis Ababa,Chirkos,Kirkos Woreda02,2019-01-31,0
1072,Addis Ababa,Chirkos,Kirkos Woreda02,2019-02-28,2
1073,Addis Ababa,Chirkos,Kirkos Woreda02,2019-03-31,1
1074,Addis Ababa,Chirkos,Kirkos Woreda02,2019-04-30,0
1075,Addis Ababa,Chirkos,Kirkos Woreda02,2019-05-31,0
1076,Addis Ababa,Chirkos,Kirkos Woreda02,2019-06-30,0
1090,Addis Ababa,Chirkos,Kirkos Woreda03,2019-01-31,1
1091,Addis Ababa,Chirkos,Kirkos Woreda03,2019-02-28,2
1092,Addis Ababa,Chirkos,Kirkos Woreda03,2019-03-31,0
1093,Addis Ababa,Chirkos,Kirkos Woreda03,2019-04-30,4
1094,Addis Ababa,Chirkos,Kirkos Woreda03,2019-05-31,2
1095,Addis Ababa,Chirkos,Kirkos Woreda03,2019-06-30,2
1109,Addis Ababa,Chirkos,Kirkos Woreda04,2019-01-31,0
1110,Addis Ababa,Chirkos,Kirkos Woreda04,2019-02-28,3
1111,Addis Ababa,Chirkos,Kirkos Woreda04,2019-03-31,1
1112,Addis Ababa,Chirkos,Kirkos Woreda04,2019-04-30,0
1113,Addis Ababa,Chirkos,Kirkos Woreda04,2019-05-31,0
1114,Addis Ababa,Chirkos,Kirkos Woreda04,2019-06-30,3
1128,Addis Ababa,Chirkos,Kirkos Woreda05,2019-01-31,0
1129,Addis Ababa,Chirkos,Kirkos Woreda05,2019-02-28,0
1130,Addis Ababa,Chirkos,Kirkos Woreda05,2019-03-31,0
1131,Addis Ababa,Chirkos,Kirkos Woreda05,2019-04-30,1
1132,Addis Ababa,Chirkos,Kirkos Woreda05,2019-05-31,0
1133,Addis Ababa,Chirkos,Kirkos Woreda05,2019-06-30,1
1147,Addis Ababa,Chirkos,Kirkos Woreda06,2019-01-31,0
1148,Addis Ababa,Chirkos,Kirkos Woreda06,2019-02-28,0
1149,Addis Ababa,Chirkos,Kirkos Woreda06,2019-03-31,1
1150,Addis Ababa,Chirkos,Kirkos Woreda06,2019-04-30,6
1151,Addis Ababa,Chirkos,Kirkos Woreda06,2019-05-31,0
1152,Addis Ababa,Chirkos,Kirkos Woreda06,2019-06-30,2
1166,Addis Ababa,Chirkos,Kirkos Woreda07,2019-01-31,7
1167,Addis Ababa,Chirkos,Kirkos Woreda07,2019-02-28,2
1168,Addis Ababa,Chirkos,Kirkos Woreda07,2019-03-31,5
1169,Addis Ababa,Chirkos,Kirkos Woreda07,2019-04-30,11
1170,Addis Ababa,Chirkos,Kirkos Woreda07,2019-05-31,6
1171,Addis Ababa,Chirkos,Kirkos Woreda07,2019-06-30,0
1185,Addis Ababa,Chirkos,Kirkos Woreda08,2019-01-31,0
1186,Addis Ababa,Chirkos,Kirkos Woreda08,2019-02-28,0
1187,Addis Ababa,Chirkos,Kirkos Woreda08,2019-03-31,0
1188,Addis Ababa,Chirkos,Kirkos Woreda08,2019-04-30,0
1189,Addis Ababa,Chirkos,Kirkos Woreda08,2019-05-31,0
1190,Addis Ababa,Chirkos,Kirkos Woreda08,2019-06-30,0
1204,Addis Ababa,Chirkos,Kirkos Woreda09,2019-01-31,1
1205,Addis Ababa,Chirkos,Kirkos Woreda09,2019-02-28,0
1206,Addis Ababa,Chirkos,Kirkos Woreda09,2019-03-31,0
1207,Addis Ababa,Chirkos,Kirkos Woreda09,2019-04-30,0
1208,Addis Ababa,Chirkos,Kirkos Woreda09,2019-05-31,0
1209,Addis Ababa,Chirkos,Kirkos Woreda09,2019-06-30,0
1223,Addis Ababa,Chirkos,Kirkos Woreda10,2019-01-31,0
1224,Addis Ababa,Chirkos,Kirkos Woreda10,2019-02-28,0
1225,Addis Ababa,Chirkos,Kirkos Woreda10,2019-03-31,0
1226,Addis Ababa,Chirkos,Kirkos Woreda10,2019-04-30,0
1227,Addis Ababa,Chirkos,Kirkos Woreda10,2019-05-31,0
1228,Addis Ababa,Chirkos,Kirkos Woreda10,2019-06-30,1
1242,Addis Ababa,Chirkos,Kirkos Woreda11,2019-01-31,5
1243,Addis Ababa,Chirkos,Kirkos Woreda11,2019-02-28,6
1244,Addis Ababa,Chirkos,Kirkos Woreda11,2019-03-31,5
1245,Addis Ababa,Chirkos,Kirkos Woreda11,2019-04-30,1
1246,Addis Ababa,Chirkos,Kirkos Woreda11,2019-05-31,0
1247,Addis Ababa,Chirkos,Kirkos Woreda11,2019-06-30,0
1272,Addis Ababa,Chirkos,Zeweditu Hospital,2019-01-31,13
1273,Addis Ababa,Chirkos,Zeweditu Hospital,2019-02-28,16
1274,Addis Ababa,Chirkos,Zeweditu Hospital,2019-03-31,24
1275,Addis Ababa,Chirkos,Zeweditu Hospital,2019-04-30,23
1276,Addis Ababa,Chirkos,Zeweditu Hospital,2019-05-31,15
1277,Addis Ababa,Chirkos,Zeweditu Hospital,2019-06-30,10
1302,Addis Ababa,Gulele,Gulele Woreda01,2019-01-31,3
1303,Addis Ababa,Gulele,Gulele Woreda01,2019-02-28,2
1304,Addis Ababa,Gulele,Gulele Woreda01,2019-03-31,2
1305,Addis Ababa,Gulele,Gulele Woreda01,2019-04-30,0
1306,Addis Ababa,Gulele,Gulele Woreda01,2019-05-31,0
1307,Addis Ababa,Gulele,Gulele Woreda01,2019-06-30,0
