d3mIndex,cultivar,sitename,day,canopy_height
30,PI145619,MAC Field Scanner Season 4 Range 27 Column 11,83,280
31,PI145619,MAC Field Scanner Season 4 Range 27 Column 11,84,291
32,PI145619,MAC Field Scanner Season 4 Range 27 Column 11,85,291
33,PI145619,MAC Field Scanner Season 4 Range 27 Column 11,133,341
34,PI145619,MAC Field Scanner Season 4 Range 27 Column 12,12,10
35,PI145619,MAC Field Scanner Season 4 Range 27 Column 12,13,10
36,PI145619,MAC Field Scanner Season 4 Range 27 Column 12,14,10
37,PI145619,MAC Field Scanner Season 4 Range 27 Column 12,15,10
38,PI145619,MAC Field Scanner Season 4 Range 27 Column 12,16,10
39,PI145619,MAC Field Scanner Season 4 Range 27 Column 12,17,10
40,PI145619,MAC Field Scanner Season 4 Range 27 Column 12,18,11
41,PI145619,MAC Field Scanner Season 4 Range 27 Column 12,19,11
42,PI145619,MAC Field Scanner Season 4 Range 27 Column 12,22,13
43,PI145619,MAC Field Scanner Season 4 Range 27 Column 12,24,15
44,PI145619,MAC Field Scanner Season 4 Range 27 Column 12,26,18
45,PI145619,MAC Field Scanner Season 4 Range 27 Column 12,27,20
46,PI145619,MAC Field Scanner Season 4 Range 27 Column 12,29,24
47,PI145619,MAC Field Scanner Season 4 Range 27 Column 12,30,26
48,PI145619,MAC Field Scanner Season 4 Range 27 Column 12,31,29
49,PI145619,MAC Field Scanner Season 4 Range 27 Column 12,36,47
50,PI145619,MAC Field Scanner Season 4 Range 27 Column 12,45,104
51,PI145619,MAC Field Scanner Season 4 Range 27 Column 12,46,110
52,PI145619,MAC Field Scanner Season 4 Range 27 Column 12,47,122
53,PI145619,MAC Field Scanner Season 4 Range 27 Column 12,48,129
54,PI145619,MAC Field Scanner Season 4 Range 27 Column 12,49,140
55,PI145619,MAC Field Scanner Season 4 Range 27 Column 12,50,148
56,PI145619,MAC Field Scanner Season 4 Range 27 Column 12,51,154
57,PI145619,MAC Field Scanner Season 4 Range 27 Column 12,52,162
58,PI145619,MAC Field Scanner Season 4 Range 27 Column 12,57,193
59,PI145619,MAC Field Scanner Season 4 Range 27 Column 12,73,247
60,PI145619,MAC Field Scanner Season 4 Range 27 Column 12,75,247
61,PI145619,MAC Field Scanner Season 4 Range 27 Column 12,77,257
62,PI145619,MAC Field Scanner Season 4 Range 27 Column 12,78,257
63,PI145619,MAC Field Scanner Season 4 Range 27 Column 12,80,254
64,PI145619,MAC Field Scanner Season 4 Range 27 Column 12,83,243
65,PI145619,MAC Field Scanner Season 4 Range 27 Column 12,84,256
66,PI145619,MAC Field Scanner Season 4 Range 27 Column 12,85,258
67,PI145619,MAC Field Scanner Season 4 Range 27 Column 12,133,336
68,PI145619,MAC Field Scanner Season 4 Range 33 Column 15,12,11
69,PI145619,MAC Field Scanner Season 4 Range 33 Column 15,13,11
70,PI145619,MAC Field Scanner Season 4 Range 33 Column 15,14,10
71,PI145619,MAC Field Scanner Season 4 Range 33 Column 15,15,10
72,PI145619,MAC Field Scanner Season 4 Range 33 Column 15,16,11
73,PI145619,MAC Field Scanner Season 4 Range 33 Column 15,17,11
74,PI145619,MAC Field Scanner Season 4 Range 33 Column 15,18,12
75,PI145619,MAC Field Scanner Season 4 Range 33 Column 15,19,12
76,PI145619,MAC Field Scanner Season 4 Range 33 Column 15,22,14
77,PI145619,MAC Field Scanner Season 4 Range 33 Column 15,24,13
78,PI145619,MAC Field Scanner Season 4 Range 33 Column 15,26,16
79,PI145619,MAC Field Scanner Season 4 Range 33 Column 15,27,17
80,PI145619,MAC Field Scanner Season 4 Range 33 Column 15,30,19
81,PI145619,MAC Field Scanner Season 4 Range 33 Column 15,31,20
82,PI145619,MAC Field Scanner Season 4 Range 33 Column 15,77,268
83,PI145619,MAC Field Scanner Season 4 Range 33 Column 15,78,274
84,PI145619,MAC Field Scanner Season 4 Range 33 Column 15,80,278
85,PI145619,MAC Field Scanner Season 4 Range 33 Column 15,83,285
86,PI145619,MAC Field Scanner Season 4 Range 33 Column 15,84,285
87,PI145619,MAC Field Scanner Season 4 Range 33 Column 15,85,288
88,PI145619,MAC Field Scanner Season 4 Range 33 Column 15,133,348
89,PI145626,MAC Field Scanner Season 4 Range 3 Column 7,12,11
90,PI145626,MAC Field Scanner Season 4 Range 3 Column 7,14,11
91,PI145626,MAC Field Scanner Season 4 Range 3 Column 7,15,11
92,PI145626,MAC Field Scanner Season 4 Range 3 Column 7,16,11
93,PI145626,MAC Field Scanner Season 4 Range 3 Column 7,17,11
94,PI145626,MAC Field Scanner Season 4 Range 3 Column 7,19,12
95,PI145626,MAC Field Scanner Season 4 Range 3 Column 7,27,15
96,PI145626,MAC Field Scanner Season 4 Range 3 Column 7,29,17
97,PI145626,MAC Field Scanner Season 4 Range 3 Column 7,31,19
98,PI145626,MAC Field Scanner Season 4 Range 3 Column 7,36,39
99,PI145626,MAC Field Scanner Season 4 Range 3 Column 7,46,78
100,PI145626,MAC Field Scanner Season 4 Range 3 Column 7,47,84
101,PI145626,MAC Field Scanner Season 4 Range 3 Column 7,48,89
102,PI145626,MAC Field Scanner Season 4 Range 3 Column 7,51,102
103,PI145626,MAC Field Scanner Season 4 Range 3 Column 7,52,106
104,PI145626,MAC Field Scanner Season 4 Range 3 Column 7,57,138
105,PI145626,MAC Field Scanner Season 4 Range 3 Column 7,58,142
106,PI145626,MAC Field Scanner Season 4 Range 3 Column 7,73,247
107,PI145626,MAC Field Scanner Season 4 Range 3 Column 7,75,258
108,PI145626,MAC Field Scanner Season 4 Range 3 Column 7,77,270
109,PI145626,MAC Field Scanner Season 4 Range 3 Column 7,78,273
110,PI145626,MAC Field Scanner Season 4 Range 3 Column 7,80,283
111,PI145626,MAC Field Scanner Season 4 Range 3 Column 7,83,299
112,PI145626,MAC Field Scanner Season 4 Range 3 Column 7,84,302
113,PI145626,MAC Field Scanner Season 4 Range 3 Column 7,85,309
114,PI145626,MAC Field Scanner Season 4 Range 3 Column 7,133,399
115,PI145626,MAC Field Scanner Season 4 Range 3 Column 8,12,12
116,PI145626,MAC Field Scanner Season 4 Range 3 Column 8,14,12
117,PI145626,MAC Field Scanner Season 4 Range 3 Column 8,15,12
118,PI145626,MAC Field Scanner Season 4 Range 3 Column 8,16,12
119,PI145626,MAC Field Scanner Season 4 Range 3 Column 8,17,12
120,PI145626,MAC Field Scanner Season 4 Range 3 Column 8,19,14
121,PI145626,MAC Field Scanner Season 4 Range 3 Column 8,27,21
122,PI145626,MAC Field Scanner Season 4 Range 3 Column 8,29,24
123,PI145626,MAC Field Scanner Season 4 Range 3 Column 8,31,27
124,PI145626,MAC Field Scanner Season 4 Range 3 Column 8,36,43
125,PI145626,MAC Field Scanner Season 4 Range 3 Column 8,46,90
126,PI145626,MAC Field Scanner Season 4 Range 3 Column 8,47,97
127,PI145626,MAC Field Scanner Season 4 Range 3 Column 8,48,104
128,PI145626,MAC Field Scanner Season 4 Range 3 Column 8,51,124
129,PI145626,MAC Field Scanner Season 4 Range 3 Column 8,52,130
130,PI145626,MAC Field Scanner Season 4 Range 3 Column 8,57,160
131,PI145626,MAC Field Scanner Season 4 Range 3 Column 8,58,168
132,PI145626,MAC Field Scanner Season 4 Range 3 Column 8,73,246
133,PI145626,MAC Field Scanner Season 4 Range 3 Column 8,75,251
134,PI145626,MAC Field Scanner Season 4 Range 3 Column 8,77,263
135,PI145626,MAC Field Scanner Season 4 Range 3 Column 8,78,259
136,PI145626,MAC Field Scanner Season 4 Range 3 Column 8,80,272
137,PI145626,MAC Field Scanner Season 4 Range 3 Column 8,83,281
138,PI145626,MAC Field Scanner Season 4 Range 3 Column 8,84,284
139,PI145626,MAC Field Scanner Season 4 Range 3 Column 8,85,287
140,PI145626,MAC Field Scanner Season 4 Range 3 Column 8,133,364
141,PI145633,MAC Field Scanner Season 4 Range 18 Column 15,12,11
142,PI145633,MAC Field Scanner Season 4 Range 18 Column 15,14,11
143,PI145633,MAC Field Scanner Season 4 Range 18 Column 15,15,11
144,PI145633,MAC Field Scanner Season 4 Range 18 Column 15,16,12
145,PI145633,MAC Field Scanner Season 4 Range 18 Column 15,17,13
146,PI145633,MAC Field Scanner Season 4 Range 18 Column 15,18,15
147,PI145633,MAC Field Scanner Season 4 Range 18 Column 15,19,17
148,PI145633,MAC Field Scanner Season 4 Range 18 Column 15,27,27
149,PI145633,MAC Field Scanner Season 4 Range 18 Column 15,29,33
150,PI145633,MAC Field Scanner Season 4 Range 18 Column 15,30,35
151,PI145633,MAC Field Scanner Season 4 Range 18 Column 15,31,39
152,PI145633,MAC Field Scanner Season 4 Range 18 Column 15,77,263
153,PI145633,MAC Field Scanner Season 4 Range 18 Column 15,78,254
154,PI145633,MAC Field Scanner Season 4 Range 18 Column 15,80,267
155,PI145633,MAC Field Scanner Season 4 Range 18 Column 15,83,269
156,PI145633,MAC Field Scanner Season 4 Range 18 Column 15,84,291
157,PI145633,MAC Field Scanner Season 4 Range 18 Column 15,85,285
158,PI145633,MAC Field Scanner Season 4 Range 18 Column 15,122,340
159,PI145633,MAC Field Scanner Season 4 Range 51 Column 5,12,9
160,PI145633,MAC Field Scanner Season 4 Range 51 Column 5,13,9
161,PI145633,MAC Field Scanner Season 4 Range 51 Column 5,14,9
162,PI145633,MAC Field Scanner Season 4 Range 51 Column 5,16,9
163,PI145633,MAC Field Scanner Season 4 Range 51 Column 5,17,9
164,PI145633,MAC Field Scanner Season 4 Range 51 Column 5,18,10
165,PI145633,MAC Field Scanner Season 4 Range 51 Column 5,19,10
166,PI145633,MAC Field Scanner Season 4 Range 51 Column 5,22,12
167,PI145633,MAC Field Scanner Season 4 Range 51 Column 5,24,12
168,PI145633,MAC Field Scanner Season 4 Range 51 Column 5,26,15
169,PI145633,MAC Field Scanner Season 4 Range 51 Column 5,27,17
170,PI145633,MAC Field Scanner Season 4 Range 51 Column 5,30,22
171,PI145633,MAC Field Scanner Season 4 Range 51 Column 5,31,24
172,PI145633,MAC Field Scanner Season 4 Range 51 Column 5,35,39
173,PI145633,MAC Field Scanner Season 4 Range 51 Column 5,77,275
174,PI145633,MAC Field Scanner Season 4 Range 51 Column 5,78,280
175,PI145633,MAC Field Scanner Season 4 Range 51 Column 5,80,279
176,PI145633,MAC Field Scanner Season 4 Range 51 Column 5,83,280
177,PI145633,MAC Field Scanner Season 4 Range 51 Column 5,84,285
178,PI145633,MAC Field Scanner Season 4 Range 51 Column 5,85,286
179,PI145633,MAC Field Scanner Season 4 Range 51 Column 5,124,283
180,PI145633,MAC Field Scanner Season 4 Range 51 Column 6,12,9
181,PI145633,MAC Field Scanner Season 4 Range 51 Column 6,13,9
182,PI145633,MAC Field Scanner Season 4 Range 51 Column 6,14,9
183,PI145633,MAC Field Scanner Season 4 Range 51 Column 6,16,9
184,PI145633,MAC Field Scanner Season 4 Range 51 Column 6,17,9
185,PI145633,MAC Field Scanner Season 4 Range 51 Column 6,18,10
186,PI145633,MAC Field Scanner Season 4 Range 51 Column 6,19,10
187,PI145633,MAC Field Scanner Season 4 Range 51 Column 6,22,10
188,PI145633,MAC Field Scanner Season 4 Range 51 Column 6,24,9
189,PI145633,MAC Field Scanner Season 4 Range 51 Column 6,26,10
190,PI145633,MAC Field Scanner Season 4 Range 51 Column 6,27,12
191,PI145633,MAC Field Scanner Season 4 Range 51 Column 6,30,13
192,PI145633,MAC Field Scanner Season 4 Range 51 Column 6,31,13
193,PI145633,MAC Field Scanner Season 4 Range 51 Column 6,35,19
194,PI145633,MAC Field Scanner Season 4 Range 51 Column 6,36,24
195,PI145633,MAC Field Scanner Season 4 Range 51 Column 6,44,54
196,PI145633,MAC Field Scanner Season 4 Range 51 Column 6,45,62
197,PI145633,MAC Field Scanner Season 4 Range 51 Column 6,46,73
198,PI145633,MAC Field Scanner Season 4 Range 51 Column 6,48,79
199,PI145633,MAC Field Scanner Season 4 Range 51 Column 6,50,107
200,PI145633,MAC Field Scanner Season 4 Range 51 Column 6,51,117
201,PI145633,MAC Field Scanner Season 4 Range 51 Column 6,52,125
202,PI145633,MAC Field Scanner Season 4 Range 51 Column 6,53,128
203,PI145633,MAC Field Scanner Season 4 Range 51 Column 6,56,154
204,PI145633,MAC Field Scanner Season 4 Range 51 Column 6,57,170
205,PI145633,MAC Field Scanner Season 4 Range 51 Column 6,72,218
206,PI145633,MAC Field Scanner Season 4 Range 51 Column 6,73,226
207,PI145633,MAC Field Scanner Season 4 Range 51 Column 6,74,218
208,PI145633,MAC Field Scanner Season 4 Range 51 Column 6,75,227
209,PI145633,MAC Field Scanner Season 4 Range 51 Column 6,77,216
210,PI145633,MAC Field Scanner Season 4 Range 51 Column 6,78,236
211,PI145633,MAC Field Scanner Season 4 Range 51 Column 6,80,239
212,PI145633,MAC Field Scanner Season 4 Range 51 Column 6,83,250
213,PI145633,MAC Field Scanner Season 4 Range 51 Column 6,84,250
214,PI145633,MAC Field Scanner Season 4 Range 51 Column 6,85,251
215,PI145633,MAC Field Scanner Season 4 Range 51 Column 6,132,309
216,PI146890,MAC Field Scanner Season 4 Range 35 Column 11,12,10
217,PI146890,MAC Field Scanner Season 4 Range 35 Column 11,13,10
218,PI146890,MAC Field Scanner Season 4 Range 35 Column 11,14,10
219,PI146890,MAC Field Scanner Season 4 Range 35 Column 11,15,10
220,PI146890,MAC Field Scanner Season 4 Range 35 Column 11,16,10
221,PI146890,MAC Field Scanner Season 4 Range 35 Column 11,17,10
222,PI146890,MAC Field Scanner Season 4 Range 35 Column 11,18,12
223,PI146890,MAC Field Scanner Season 4 Range 35 Column 11,19,12
224,PI146890,MAC Field Scanner Season 4 Range 35 Column 11,22,15
225,PI146890,MAC Field Scanner Season 4 Range 35 Column 11,24,15
226,PI146890,MAC Field Scanner Season 4 Range 35 Column 11,26,18
227,PI146890,MAC Field Scanner Season 4 Range 35 Column 11,27,19
228,PI146890,MAC Field Scanner Season 4 Range 35 Column 11,30,22
229,PI146890,MAC Field Scanner Season 4 Range 35 Column 11,31,23
230,PI146890,MAC Field Scanner Season 4 Range 35 Column 11,77,281
231,PI146890,MAC Field Scanner Season 4 Range 35 Column 11,78,288
232,PI146890,MAC Field Scanner Season 4 Range 35 Column 11,80,284
233,PI146890,MAC Field Scanner Season 4 Range 35 Column 11,83,282
234,PI146890,MAC Field Scanner Season 4 Range 35 Column 11,84,294
235,PI146890,MAC Field Scanner Season 4 Range 35 Column 11,85,298
236,PI146890,MAC Field Scanner Season 4 Range 35 Column 11,122,338
237,PI146890,MAC Field Scanner Season 4 Range 35 Column 12,12,10
238,PI146890,MAC Field Scanner Season 4 Range 35 Column 12,13,10
239,PI146890,MAC Field Scanner Season 4 Range 35 Column 12,14,10
240,PI146890,MAC Field Scanner Season 4 Range 35 Column 12,15,9
241,PI146890,MAC Field Scanner Season 4 Range 35 Column 12,16,10
242,PI146890,MAC Field Scanner Season 4 Range 35 Column 12,17,10
243,PI146890,MAC Field Scanner Season 4 Range 35 Column 12,18,11
244,PI146890,MAC Field Scanner Season 4 Range 35 Column 12,19,11
245,PI146890,MAC Field Scanner Season 4 Range 35 Column 12,22,11
246,PI146890,MAC Field Scanner Season 4 Range 35 Column 12,24,12
247,PI146890,MAC Field Scanner Season 4 Range 35 Column 12,26,13
248,PI146890,MAC Field Scanner Season 4 Range 35 Column 12,27,15
249,PI146890,MAC Field Scanner Season 4 Range 35 Column 12,30,18
250,PI146890,MAC Field Scanner Season 4 Range 35 Column 12,31,19
251,PI146890,MAC Field Scanner Season 4 Range 35 Column 12,36,33
252,PI146890,MAC Field Scanner Season 4 Range 35 Column 12,44,70
253,PI146890,MAC Field Scanner Season 4 Range 35 Column 12,45,72
254,PI146890,MAC Field Scanner Season 4 Range 35 Column 12,46,81
255,PI146890,MAC Field Scanner Season 4 Range 35 Column 12,47,88
256,PI146890,MAC Field Scanner Season 4 Range 35 Column 12,48,94
257,PI146890,MAC Field Scanner Season 4 Range 35 Column 12,50,104
258,PI146890,MAC Field Scanner Season 4 Range 35 Column 12,51,110
259,PI146890,MAC Field Scanner Season 4 Range 35 Column 12,52,115
260,PI146890,MAC Field Scanner Season 4 Range 35 Column 12,57,139
261,PI146890,MAC Field Scanner Season 4 Range 35 Column 12,73,216
262,PI146890,MAC Field Scanner Season 4 Range 35 Column 12,74,219
263,PI146890,MAC Field Scanner Season 4 Range 35 Column 12,75,224
264,PI146890,MAC Field Scanner Season 4 Range 35 Column 12,76,234
265,PI146890,MAC Field Scanner Season 4 Range 35 Column 12,77,236
266,PI146890,MAC Field Scanner Season 4 Range 35 Column 12,78,239
267,PI146890,MAC Field Scanner Season 4 Range 35 Column 12,80,242
268,PI146890,MAC Field Scanner Season 4 Range 35 Column 12,83,242
269,PI146890,MAC Field Scanner Season 4 Range 35 Column 12,84,255
270,PI146890,MAC Field Scanner Season 4 Range 35 Column 12,85,254
271,PI146890,MAC Field Scanner Season 4 Range 35 Column 12,132,375
272,PI152651,MAC Field Scanner Season 4 Range 16 Column 13,12,11
273,PI152651,MAC Field Scanner Season 4 Range 16 Column 13,14,11
274,PI152651,MAC Field Scanner Season 4 Range 16 Column 13,15,11
275,PI152651,MAC Field Scanner Season 4 Range 16 Column 13,16,11
276,PI152651,MAC Field Scanner Season 4 Range 16 Column 13,17,11
277,PI152651,MAC Field Scanner Season 4 Range 16 Column 13,18,12
278,PI152651,MAC Field Scanner Season 4 Range 16 Column 13,19,13
279,PI152651,MAC Field Scanner Season 4 Range 16 Column 13,27,17
280,PI152651,MAC Field Scanner Season 4 Range 16 Column 13,29,20
281,PI152651,MAC Field Scanner Season 4 Range 16 Column 13,30,22
282,PI152651,MAC Field Scanner Season 4 Range 16 Column 13,31,23
283,PI152651,MAC Field Scanner Season 4 Range 16 Column 13,77,262
284,PI152651,MAC Field Scanner Season 4 Range 16 Column 13,78,261
285,PI152651,MAC Field Scanner Season 4 Range 16 Column 13,80,270
286,PI152651,MAC Field Scanner Season 4 Range 16 Column 13,83,276
287,PI152651,MAC Field Scanner Season 4 Range 16 Column 13,84,282
288,PI152651,MAC Field Scanner Season 4 Range 16 Column 13,85,282
289,PI152651,MAC Field Scanner Season 4 Range 16 Column 13,122,334
290,PI152651,MAC Field Scanner Season 4 Range 16 Column 14,12,13
291,PI152651,MAC Field Scanner Season 4 Range 16 Column 14,14,12
292,PI152651,MAC Field Scanner Season 4 Range 16 Column 14,15,12
293,PI152651,MAC Field Scanner Season 4 Range 16 Column 14,16,13
294,PI152651,MAC Field Scanner Season 4 Range 16 Column 14,17,13
295,PI152651,MAC Field Scanner Season 4 Range 16 Column 14,18,14
296,PI152651,MAC Field Scanner Season 4 Range 16 Column 14,19,15
297,PI152651,MAC Field Scanner Season 4 Range 16 Column 14,27,22
298,PI152651,MAC Field Scanner Season 4 Range 16 Column 14,29,25
299,PI152651,MAC Field Scanner Season 4 Range 16 Column 14,30,26
300,PI152651,MAC Field Scanner Season 4 Range 16 Column 14,31,29
301,PI152651,MAC Field Scanner Season 4 Range 16 Column 14,36,48
302,PI152651,MAC Field Scanner Season 4 Range 16 Column 14,46,89
303,PI152651,MAC Field Scanner Season 4 Range 16 Column 14,47,95
304,PI152651,MAC Field Scanner Season 4 Range 16 Column 14,48,102
305,PI152651,MAC Field Scanner Season 4 Range 16 Column 14,50,112
306,PI152651,MAC Field Scanner Season 4 Range 16 Column 14,51,113
307,PI152651,MAC Field Scanner Season 4 Range 16 Column 14,52,117
308,PI152651,MAC Field Scanner Season 4 Range 16 Column 14,57,145
309,PI152651,MAC Field Scanner Season 4 Range 16 Column 14,58,156
310,PI152651,MAC Field Scanner Season 4 Range 16 Column 14,73,219
311,PI152651,MAC Field Scanner Season 4 Range 16 Column 14,75,232
312,PI152651,MAC Field Scanner Season 4 Range 16 Column 14,77,227
313,PI152651,MAC Field Scanner Season 4 Range 16 Column 14,78,245
314,PI152651,MAC Field Scanner Season 4 Range 16 Column 14,80,235
315,PI152651,MAC Field Scanner Season 4 Range 16 Column 14,83,235
316,PI152651,MAC Field Scanner Season 4 Range 16 Column 14,84,239
317,PI152651,MAC Field Scanner Season 4 Range 16 Column 14,85,261
318,PI152651,MAC Field Scanner Season 4 Range 16 Column 14,133,328
319,PI152694,MAC Field Scanner Season 4 Range 7 Column 15,12,11
320,PI152694,MAC Field Scanner Season 4 Range 7 Column 15,14,11
321,PI152694,MAC Field Scanner Season 4 Range 7 Column 15,15,11
322,PI152694,MAC Field Scanner Season 4 Range 7 Column 15,16,11
323,PI152694,MAC Field Scanner Season 4 Range 7 Column 15,17,12
324,PI152694,MAC Field Scanner Season 4 Range 7 Column 15,19,14
325,PI152694,MAC Field Scanner Season 4 Range 7 Column 15,27,21
326,PI152694,MAC Field Scanner Season 4 Range 7 Column 15,29,26
327,PI152694,MAC Field Scanner Season 4 Range 7 Column 15,30,29
328,PI152694,MAC Field Scanner Season 4 Range 7 Column 15,31,31
329,PI152694,MAC Field Scanner Season 4 Range 7 Column 15,36,49
330,PI152694,MAC Field Scanner Season 4 Range 7 Column 15,77,270
331,PI152694,MAC Field Scanner Season 4 Range 7 Column 15,78,263
332,PI152694,MAC Field Scanner Season 4 Range 7 Column 15,80,274
333,PI152694,MAC Field Scanner Season 4 Range 7 Column 15,83,277
334,PI152694,MAC Field Scanner Season 4 Range 7 Column 15,84,282
335,PI152694,MAC Field Scanner Season 4 Range 7 Column 15,85,283
336,PI152694,MAC Field Scanner Season 4 Range 7 Column 15,122,330
337,PI152727,MAC Field Scanner Season 4 Range 16 Column 3,12,12
338,PI152727,MAC Field Scanner Season 4 Range 16 Column 3,14,12
339,PI152727,MAC Field Scanner Season 4 Range 16 Column 3,15,11
340,PI152727,MAC Field Scanner Season 4 Range 16 Column 3,16,12
341,PI152727,MAC Field Scanner Season 4 Range 16 Column 3,17,12
342,PI152727,MAC Field Scanner Season 4 Range 16 Column 3,18,12
343,PI152727,MAC Field Scanner Season 4 Range 16 Column 3,19,13
344,PI152727,MAC Field Scanner Season 4 Range 16 Column 3,27,17
345,PI152727,MAC Field Scanner Season 4 Range 16 Column 3,29,17
346,PI152727,MAC Field Scanner Season 4 Range 16 Column 3,30,18
347,PI152727,MAC Field Scanner Season 4 Range 16 Column 3,31,17
348,PI152727,MAC Field Scanner Season 4 Range 16 Column 3,77,228
349,PI152727,MAC Field Scanner Season 4 Range 16 Column 3,78,229
350,PI152727,MAC Field Scanner Season 4 Range 16 Column 3,80,227
351,PI152727,MAC Field Scanner Season 4 Range 16 Column 3,83,172
352,PI152727,MAC Field Scanner Season 4 Range 16 Column 3,84,250
353,PI152727,MAC Field Scanner Season 4 Range 16 Column 3,85,247
354,PI152727,MAC Field Scanner Season 4 Range 16 Column 3,122,277
355,PI152727,MAC Field Scanner Season 4 Range 16 Column 4,12,11
356,PI152727,MAC Field Scanner Season 4 Range 16 Column 4,14,10
357,PI152727,MAC Field Scanner Season 4 Range 16 Column 4,15,10
358,PI152727,MAC Field Scanner Season 4 Range 16 Column 4,16,11
359,PI152727,MAC Field Scanner Season 4 Range 16 Column 4,17,11
360,PI152727,MAC Field Scanner Season 4 Range 16 Column 4,18,12
361,PI152727,MAC Field Scanner Season 4 Range 16 Column 4,19,12
362,PI152727,MAC Field Scanner Season 4 Range 16 Column 4,27,19
363,PI152727,MAC Field Scanner Season 4 Range 16 Column 4,29,21
364,PI152727,MAC Field Scanner Season 4 Range 16 Column 4,30,23
365,PI152727,MAC Field Scanner Season 4 Range 16 Column 4,31,23
366,PI152727,MAC Field Scanner Season 4 Range 16 Column 4,77,195
367,PI152727,MAC Field Scanner Season 4 Range 16 Column 4,78,191
368,PI152727,MAC Field Scanner Season 4 Range 16 Column 4,80,198
369,PI152727,MAC Field Scanner Season 4 Range 16 Column 4,83,199
370,PI152727,MAC Field Scanner Season 4 Range 16 Column 4,84,202
371,PI152727,MAC Field Scanner Season 4 Range 16 Column 4,85,199
372,PI152727,MAC Field Scanner Season 4 Range 16 Column 4,122,288
373,PI152727,MAC Field Scanner Season 4 Range 30 Column 10,12,10
374,PI152727,MAC Field Scanner Season 4 Range 30 Column 10,13,10
375,PI152727,MAC Field Scanner Season 4 Range 30 Column 10,14,9
376,PI152727,MAC Field Scanner Season 4 Range 30 Column 10,15,9
377,PI152727,MAC Field Scanner Season 4 Range 30 Column 10,16,10
378,PI152727,MAC Field Scanner Season 4 Range 30 Column 10,17,10
379,PI152727,MAC Field Scanner Season 4 Range 30 Column 10,18,11
380,PI152727,MAC Field Scanner Season 4 Range 30 Column 10,19,11
381,PI152727,MAC Field Scanner Season 4 Range 30 Column 10,22,12
382,PI152727,MAC Field Scanner Season 4 Range 30 Column 10,24,11
383,PI152727,MAC Field Scanner Season 4 Range 30 Column 10,26,13
384,PI152727,MAC Field Scanner Season 4 Range 30 Column 10,27,14
385,PI152727,MAC Field Scanner Season 4 Range 30 Column 10,30,18
386,PI152727,MAC Field Scanner Season 4 Range 30 Column 10,31,18
387,PI152727,MAC Field Scanner Season 4 Range 30 Column 10,36,34
388,PI152727,MAC Field Scanner Season 4 Range 30 Column 10,45,73
389,PI152727,MAC Field Scanner Season 4 Range 30 Column 10,46,75
390,PI152727,MAC Field Scanner Season 4 Range 30 Column 10,47,81
391,PI152727,MAC Field Scanner Season 4 Range 30 Column 10,48,83
392,PI152727,MAC Field Scanner Season 4 Range 30 Column 10,50,97
393,PI152727,MAC Field Scanner Season 4 Range 30 Column 10,51,99
394,PI152727,MAC Field Scanner Season 4 Range 30 Column 10,52,104
395,PI152727,MAC Field Scanner Season 4 Range 30 Column 10,57,137
396,PI152727,MAC Field Scanner Season 4 Range 30 Column 10,58,145
397,PI152727,MAC Field Scanner Season 4 Range 30 Column 10,59,142
