"d3mIndex","Region","Zone","Year","Date","precipitation","TOTAL_A_KM","WATER_A_KM","LAND_A_KM","ISOALPHA","COUNTRYNM","population","population_density","MaizeRetailPrice_li","WheatRetailPrice_li","MaizeProductionQuintal","WheatProductionQuintal","MaizeYieldQtHa","WheatYieldQtHa","Month"
53,"Afar","Afar Zone 1",2012,"2012-05",15.996442936875,35332.18,336.4713,34995.71,"ETH","Ethiopia",508033.7,14.51703,NA,NA,NA,NA,NA,NA,5
54,"Afar","Afar Zone 1",2012,"2012-06",7.36701746425,35332.18,336.4713,34995.71,"ETH","Ethiopia",508950.4,14.54322,NA,NA,NA,NA,NA,NA,6
55,"Afar","Afar Zone 1",2012,"2012-07",111.674511515,35332.18,336.4713,34995.71,"ETH","Ethiopia",509867,14.56941,NA,NA,NA,NA,NA,NA,7
56,"Afar","Afar Zone 1",2012,"2012-08",141.2057984875,35332.18,336.4713,34995.71,"ETH","Ethiopia",510783.6,14.59561,NA,NA,NA,NA,NA,NA,8
57,"Afar","Afar Zone 1",2012,"2012-09",21.99626244125,35332.18,336.4713,34995.71,"ETH","Ethiopia",511700.3,14.6218,NA,NA,NA,NA,NA,NA,9
58,"Afar","Afar Zone 1",2012,"2012-10",1.201166279375,35332.18,336.4713,34995.71,"ETH","Ethiopia",512616.9,14.64799,NA,NA,NA,NA,NA,NA,10
59,"Afar","Afar Zone 1",2012,"2012-11",0.69927816725,35332.18,336.4713,34995.71,"ETH","Ethiopia",513533.5,14.67419,NA,NA,NA,NA,NA,NA,11
60,"Afar","Afar Zone 1",2012,"2012-12",1.981669074875,35332.18,336.4713,34995.71,"ETH","Ethiopia",514450.2,14.70038,NA,NA,NA,NA,NA,NA,12
61,"Afar","Afar Zone 1",2013,"2013-01",5.3321853165,35332.18,336.4713,34995.71,"ETH","Ethiopia",515366.8,14.72657,NA,NA,NA,NA,NA,NA,1
62,"Afar","Afar Zone 1",2013,"2013-02",2.084389347125,35332.18,336.4713,34995.71,"ETH","Ethiopia",516283.4,14.75276,NA,NA,NA,NA,NA,NA,2
63,"Afar","Afar Zone 1",2013,"2013-03",77.25712032125,35332.18,336.4713,34995.71,"ETH","Ethiopia",517200.1,14.77896,NA,NA,NA,NA,NA,NA,3
64,"Afar","Afar Zone 1",2013,"2013-04",53.04351704375,35332.18,336.4713,34995.71,"ETH","Ethiopia",518116.7,14.80515,NA,NA,NA,NA,NA,NA,4
65,"Afar","Afar Zone 1",2013,"2013-05",22.70125798,35332.18,336.4713,34995.71,"ETH","Ethiopia",519033.3,14.83134,NA,NA,NA,NA,NA,NA,5
66,"Afar","Afar Zone 1",2013,"2013-06",1.085399916125,35332.18,336.4713,34995.71,"ETH","Ethiopia",519950,14.85754,NA,NA,NA,NA,NA,NA,6
67,"Afar","Afar Zone 1",2013,"2013-07",84.3843723,35332.18,336.4713,34995.71,"ETH","Ethiopia",520866.6,14.88373,NA,NA,NA,NA,NA,NA,7
68,"Afar","Afar Zone 1",2013,"2013-08",139.231890155,35332.18,336.4713,34995.71,"ETH","Ethiopia",521783.2,14.90992,NA,NA,NA,NA,NA,NA,8
69,"Afar","Afar Zone 1",2013,"2013-09",31.776696075,35332.18,336.4713,34995.71,"ETH","Ethiopia",522699.9,14.93611,NA,NA,NA,NA,NA,NA,9
70,"Afar","Afar Zone 1",2013,"2013-10",56.33267647625,35332.18,336.4713,34995.71,"ETH","Ethiopia",523616.5,14.96231,NA,NA,NA,NA,NA,NA,10
71,"Afar","Afar Zone 1",2013,"2013-11",2.89021728775,35332.18,336.4713,34995.71,"ETH","Ethiopia",524533.1,14.9885,NA,NA,NA,NA,NA,NA,11
72,"Afar","Afar Zone 1",2013,"2013-12",5.818399387375,35332.18,336.4713,34995.71,"ETH","Ethiopia",525449.8,15.01469,NA,NA,NA,NA,NA,NA,12
73,"Afar","Afar Zone 1",2014,"2014-01",2.562915841625,35332.18,336.4713,34995.71,"ETH","Ethiopia",526366.4,15.04089,NA,NA,NA,NA,NA,NA,1
74,"Afar","Afar Zone 1",2014,"2014-02",4.581284573,35332.18,336.4713,34995.71,"ETH","Ethiopia",527283,15.06708,NA,NA,NA,NA,NA,NA,2
75,"Afar","Afar Zone 1",2014,"2014-03",31.78617861625,35332.18,336.4713,34995.71,"ETH","Ethiopia",528199.7,15.09327,NA,NA,NA,NA,NA,NA,3
76,"Afar","Afar Zone 1",2014,"2014-04",44.4503980175,35332.18,336.4713,34995.71,"ETH","Ethiopia",529116.3,15.11946,NA,NA,NA,NA,NA,NA,4
77,"Afar","Afar Zone 1",2014,"2014-05",49.33014159625,35332.18,336.4713,34995.71,"ETH","Ethiopia",530032.9,15.14566,NA,NA,NA,NA,NA,NA,5
78,"Afar","Afar Zone 1",2014,"2014-06",5.75420150725,35332.18,336.4713,34995.71,"ETH","Ethiopia",530949.6,15.17185,NA,NA,NA,NA,NA,NA,6
79,"Afar","Afar Zone 1",2014,"2014-07",80.77575595875,35332.18,336.4713,34995.71,"ETH","Ethiopia",531866.2,15.19804,NA,NA,NA,NA,NA,NA,7
80,"Afar","Afar Zone 1",2014,"2014-08",118.11536308875,35332.18,336.4713,34995.71,"ETH","Ethiopia",532782.8,15.22424,NA,NA,NA,NA,NA,NA,8
81,"Afar","Afar Zone 1",2014,"2014-09",60.3489966275,35332.18,336.4713,34995.71,"ETH","Ethiopia",533699.5,15.25043,NA,NA,NA,NA,NA,NA,9
82,"Afar","Afar Zone 1",2014,"2014-10",52.1281044375,35332.18,336.4713,34995.71,"ETH","Ethiopia",534616.1,15.27662,NA,NA,NA,NA,NA,NA,10
83,"Afar","Afar Zone 1",2014,"2014-11",1.54507516725,35332.18,336.4713,34995.71,"ETH","Ethiopia",535532.7,15.30281,NA,NA,NA,NA,NA,NA,11
84,"Afar","Afar Zone 1",2014,"2014-12",13.13583748125,35332.18,336.4713,34995.71,"ETH","Ethiopia",536449.4,15.32901,NA,NA,NA,NA,NA,NA,12
85,"Afar","Afar Zone 1",2015,"2015-01",4.307398331,35332.18,336.4713,34995.71,"ETH","Ethiopia",537366,15.3552,6.75,NA,NA,NA,NA,NA,1
86,"Afar","Afar Zone 1",2015,"2015-02",2.112789985375,35332.18,336.4713,34995.71,"ETH","Ethiopia",538307.7,15.38211,6.75555555555556,NA,NA,NA,NA,NA,2
87,"Afar","Afar Zone 1",2015,"2015-03",22.121618572625,35332.18,336.4713,34995.71,"ETH","Ethiopia",539249.3,15.40902,6.76111111111111,NA,NA,NA,NA,NA,3
88,"Afar","Afar Zone 1",2015,"2015-04",31.0772374625,35332.18,336.4713,34995.71,"ETH","Ethiopia",540190.9,15.43592,6.76666666666667,NA,NA,NA,NA,NA,4
89,"Afar","Afar Zone 1",2015,"2015-05",44.985527975,35332.18,336.4713,34995.71,"ETH","Ethiopia",541132.6,15.46283,6.77222222222222,NA,NA,NA,NA,NA,5
90,"Afar","Afar Zone 1",2015,"2015-06",16.41889228625,35332.18,336.4713,34995.71,"ETH","Ethiopia",542074.2,15.48974,6.77777777777778,NA,NA,NA,NA,NA,6
91,"Afar","Afar Zone 1",2015,"2015-07",27.888715635,35332.18,336.4713,34995.71,"ETH","Ethiopia",543015.9,15.51665,6.78333333333333,NA,NA,NA,NA,NA,7
92,"Afar","Afar Zone 1",2015,"2015-08",169.330575925,35332.18,336.4713,34995.71,"ETH","Ethiopia",543957.6,15.54355,6.78888888888889,NA,NA,NA,NA,NA,8
93,"Afar","Afar Zone 1",2015,"2015-09",53.13863651375,35332.18,336.4713,34995.71,"ETH","Ethiopia",544899.2,15.57046,6.79444444444444,NA,NA,NA,NA,NA,9
94,"Afar","Afar Zone 1",2015,"2015-10",4.764977074625,35332.18,336.4713,34995.71,"ETH","Ethiopia",545840.8,15.59737,6.8,NA,NA,NA,NA,NA,10
95,"Afar","Afar Zone 1",2015,"2015-11",6.17572606075,35332.18,336.4713,34995.71,"ETH","Ethiopia",546782.5,15.62428,6,NA,NA,NA,NA,NA,11
96,"Afar","Afar Zone 1",2015,"2015-12",6.15741897,35332.18,336.4713,34995.71,"ETH","Ethiopia",547724.2,15.65118,6,NA,NA,NA,NA,NA,12
97,"Afar","Afar Zone 1",2016,"2016-01",21.46349313125,35332.18,336.4713,34995.71,"ETH","Ethiopia",548665.8,15.67809,6,NA,NA,NA,NA,NA,1
98,"Afar","Afar Zone 1",2016,"2016-02",16.1239644555,35332.18,336.4713,34995.71,"ETH","Ethiopia",549607.4,15.705,NA,NA,NA,NA,NA,NA,2
99,"Afar","Afar Zone 1",2016,"2016-03",9.325413845875,35332.18,336.4713,34995.71,"ETH","Ethiopia",550549.1,15.7319,NA,NA,NA,NA,NA,NA,3
100,"Afar","Afar Zone 1",2016,"2016-04",101.52341274,35332.18,336.4713,34995.71,"ETH","Ethiopia",551490.8,15.75881,NA,NA,NA,NA,NA,NA,4
101,"Afar","Afar Zone 1",2016,"2016-05",39.05451388625,35332.18,336.4713,34995.71,"ETH","Ethiopia",552432.4,15.78572,NA,NA,NA,NA,NA,NA,5
102,"Afar","Afar Zone 1",2016,"2016-06",24.090285767375,35332.18,336.4713,34995.71,"ETH","Ethiopia",553374.1,15.81263,NA,NA,NA,NA,NA,NA,6
103,"Afar","Afar Zone 1",2016,"2016-07",116.86014478375,35332.18,336.4713,34995.71,"ETH","Ethiopia",554315.7,15.83953,NA,NA,NA,NA,NA,NA,7
104,"Afar","Afar Zone 1",2016,"2016-08",138.7357343325,35332.18,336.4713,34995.71,"ETH","Ethiopia",555257.3,15.86644,NA,NA,NA,NA,NA,NA,8
105,"Afar","Afar Zone 1",2016,"2016-09",37.15265879125,35332.18,336.4713,34995.71,"ETH","Ethiopia",556199,15.89335,NA,NA,NA,NA,NA,NA,9
106,"Afar","Afar Zone 1",2016,"2016-10",6.015603052375,35332.18,336.4713,34995.71,"ETH","Ethiopia",557140.7,15.92026,NA,NA,NA,NA,NA,NA,10
107,"Afar","Afar Zone 1",2016,"2016-11",11.451953082875,35332.18,336.4713,34995.71,"ETH","Ethiopia",558082.3,15.94717,NA,NA,NA,NA,NA,NA,11
108,"Afar","Afar Zone 1",2016,"2016-12",5.942137698125,35332.18,336.4713,34995.71,"ETH","Ethiopia",559023.9,15.97407,NA,NA,NA,NA,NA,NA,12
109,"Afar","Afar Zone 1",2017,"2017-01",9.500334854,35332.18,336.4713,34995.71,"ETH","Ethiopia",559965.6,16.00098,NA,NA,NA,NA,NA,NA,1
110,"Afar","Afar Zone 1",2017,"2017-02",26.02396336,35332.18,336.4713,34995.71,"ETH","Ethiopia",560907.2,16.02789,NA,NA,NA,NA,NA,NA,2
111,"Afar","Afar Zone 1",2017,"2017-03",38.089115805,35332.18,336.4713,34995.71,"ETH","Ethiopia",561848.9,16.05479,NA,NA,NA,NA,NA,NA,3
112,"Afar","Afar Zone 1",2017,"2017-04",37.52172974375,35332.18,336.4713,34995.71,"ETH","Ethiopia",562790.6,16.0817,NA,NA,NA,NA,NA,NA,4
113,"Afar","Afar Zone 1",2017,"2017-05",38.154846505,35332.18,336.4713,34995.71,"ETH","Ethiopia",563732.2,16.10861,NA,NA,NA,NA,NA,NA,5
114,"Afar","Afar Zone 1",2017,"2017-06",8.643979320625,35332.18,336.4713,34995.71,"ETH","Ethiopia",564673.8,16.13552,NA,NA,NA,NA,NA,NA,6
115,"Afar","Afar Zone 1",2017,"2017-07",63.88490483125,35332.18,336.4713,34995.71,"ETH","Ethiopia",565615.5,16.16242,NA,NA,NA,NA,NA,NA,7
116,"Afar","Afar Zone 1",2017,"2017-08",107.693226735,35332.18,336.4713,34995.71,"ETH","Ethiopia",566557.2,16.18933,NA,NA,NA,NA,NA,NA,8
117,"Afar","Afar Zone 1",2017,"2017-09",59.37377066875,35332.18,336.4713,34995.71,"ETH","Ethiopia",567498.8,16.21624,NA,NA,NA,NA,NA,NA,9
118,"Afar","Afar Zone 1",2017,"2017-10",19.19733634375,35332.18,336.4713,34995.71,"ETH","Ethiopia",568440.4,16.24315,NA,NA,NA,NA,NA,NA,10
119,"Afar","Afar Zone 1",2017,"2017-11",6.287576923875,35332.18,336.4713,34995.71,"ETH","Ethiopia",569382.1,16.27005,NA,NA,NA,NA,NA,NA,11
120,"Afar","Afar Zone 1",2017,"2017-12",7.906969781375,35332.18,336.4713,34995.71,"ETH","Ethiopia",570323.8,16.29696,NA,NA,NA,NA,NA,NA,12
121,"Afar","Afar Zone 1",2018,"2018-01",5.87122958244436,35332.18,336.4713,34995.71,"ETH","Ethiopia",571265.4,16.32387,NA,NA,NA,NA,NA,NA,1
122,"Afar","Afar Zone 1",2018,"2018-02",15.680249044953,35332.18,336.4713,34995.71,"ETH","Ethiopia",572207.1,16.35078,NA,NA,NA,NA,NA,NA,2
123,"Afar","Afar Zone 1",2018,"2018-03",31.4123935626751,35332.18,336.4713,34995.71,"ETH","Ethiopia",573148.7,16.37768,NA,NA,NA,NA,NA,NA,3
124,"Afar","Afar Zone 1",2018,"2018-04",62.4054372059234,35332.18,336.4713,34995.71,"ETH","Ethiopia",574090.3,16.40459,NA,NA,NA,NA,NA,NA,4
125,"Afar","Afar Zone 1",2018,"2018-05",11.8911770356263,35332.18,336.4713,34995.71,"ETH","Ethiopia",575032,16.4315,NA,NA,NA,NA,NA,NA,5
126,"Afar","Afar Zone 1",2018,"2018-06",16.3342350345425,35332.18,336.4713,34995.71,"ETH","Ethiopia",575973.7,16.45841,NA,NA,NA,NA,NA,NA,6
127,"Afar","Afar Zone 1",2018,"2018-07",99.1960810673909,35332.18,336.4713,34995.71,"ETH","Ethiopia",576915.3,16.48531,NA,NA,NA,NA,NA,NA,7
128,"Afar","Afar Zone 1",2018,"2018-08",115.393759437965,35332.18,336.4713,34995.71,"ETH","Ethiopia",577856.9,16.51222,NA,NA,NA,NA,NA,NA,8
129,"Afar","Afar Zone 1",2018,"2018-09",55.3393646723584,35332.18,336.4713,34995.71,"ETH","Ethiopia",578798.6,16.53913,NA,NA,NA,NA,NA,NA,9
130,"Afar","Afar Zone 1",2018,"2018-10",17.4194649117481,35332.18,336.4713,34995.71,"ETH","Ethiopia",579740.2,16.56604,NA,NA,NA,NA,NA,NA,10
131,"Afar","Afar Zone 1",2018,"2018-11",15.1360523869848,35332.18,336.4713,34995.71,"ETH","Ethiopia",580681.9,16.59295,NA,NA,NA,NA,NA,NA,11
132,"Afar","Afar Zone 1",2018,"2018-12",2.34882138114156,35332.18,336.4713,34995.71,"ETH","Ethiopia",581623.6,16.61985,NA,NA,NA,NA,NA,NA,12
133,"Afar","Afar Zone 1",2019,"2019-01",0.983432234102021,35332.18,336.4713,34995.71,"ETH","Ethiopia",582565.2,16.64676,NA,NA,NA,NA,NA,NA,1
134,"Afar","Afar Zone 1",2019,"2019-02",19.9336786979429,35332.18,336.4713,34995.71,"ETH","Ethiopia",583506.8,16.67367,NA,NA,NA,NA,NA,NA,2
135,"Afar","Afar Zone 1",2019,"2019-03",29.1691951665555,35332.18,336.4713,34995.71,"ETH","Ethiopia",584448.5,16.70058,NA,NA,NA,NA,NA,NA,3
136,"Afar","Afar Zone 1",2019,"2019-04",32.8520579596694,35332.18,336.4713,34995.71,"ETH","Ethiopia",585390.2,16.72748,NA,NA,NA,NA,NA,NA,4
137,"Afar","Afar Zone 1",2019,"2019-05",32.3561477923595,35332.18,336.4713,34995.71,"ETH","Ethiopia",586331.8,16.75439,NA,NA,NA,NA,NA,NA,5
138,"Afar","Afar Zone 1",2019,"2019-06",17.5591916258512,35332.18,336.4713,34995.71,"ETH","Ethiopia",587273.4,16.7813,NA,NA,NA,NA,NA,NA,6
139,"Afar","Afar Zone 1",2019,"2019-07",50.2388687707198,35332.18,336.4713,34995.71,"ETH","Ethiopia",588215.1,16.80821,NA,NA,NA,NA,NA,NA,7
140,"Afar","Afar Zone 1",2019,"2019-08",92.0913917487265,35332.18,336.4713,34995.71,"ETH","Ethiopia",589156.8,16.83511,NA,NA,NA,NA,NA,NA,8
141,"Afar","Afar Zone 2",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131311,NA,26.2,NA,NA
142,"Afar","Afar Zone 2",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347277.56,145.34,41.87,4.91,NA
143,"Afar","Afar Zone 2",2008,"2008-01",11.30334290025,28607.87,231.5652,28376.3,"ETH","Ethiopia",393201.2,13.85668,NA,NA,490610.22,NA,49.62,NA,1
144,"Afar","Afar Zone 2",2008,"2008-08",41.96528844625,28607.87,231.5652,28376.3,"ETH","Ethiopia",398426.9,14.04084,NA,NA,490610.22,NA,49.62,NA,8
145,"Afar","Afar Zone 2",2008,"2008-10",14.455596077375,28607.87,231.5652,28376.3,"ETH","Ethiopia",399920,14.09346,NA,NA,490610.22,NA,49.62,NA,10
146,"Afar","Afar Zone 2",2008,"2008-05",19.9417752075,28607.87,231.5652,28376.3,"ETH","Ethiopia",396187.3,13.96191,NA,NA,490610.22,NA,49.62,NA,5
147,"Afar","Afar Zone 2",2008,"2008-02",1.994695381,28607.87,231.5652,28376.3,"ETH","Ethiopia",393947.7,13.88299,NA,NA,490610.22,NA,49.62,NA,2
148,"Afar","Afar Zone 2",2008,"2008-12",3.769384984125,28607.87,231.5652,28376.3,"ETH","Ethiopia",401413.1,14.14607,NA,NA,490610.22,NA,49.62,NA,12
149,"Afar","Afar Zone 2",2008,"2008-07",32.4042658175,28607.87,231.5652,28376.3,"ETH","Ethiopia",397680.4,14.01453,NA,NA,490610.22,NA,49.62,NA,7
150,"Afar","Afar Zone 2",2008,"2008-06",6.66733016375,28607.87,231.5652,28376.3,"ETH","Ethiopia",396933.9,13.98822,NA,NA,490610.22,NA,49.62,NA,6
151,"Afar","Afar Zone 2",2008,"2008-09",31.53057064375,28607.87,231.5652,28376.3,"ETH","Ethiopia",399173.5,14.06715,NA,NA,490610.22,NA,49.62,NA,9
152,"Afar","Afar Zone 2",2008,"2008-11",19.051832452625,28607.87,231.5652,28376.3,"ETH","Ethiopia",400666.5,14.11976,NA,NA,490610.22,NA,49.62,NA,11
153,"Afar","Afar Zone 2",2008,"2008-03",2.73972212775,28607.87,231.5652,28376.3,"ETH","Ethiopia",394694.3,13.9093,NA,NA,490610.22,NA,49.62,NA,3
