"d3mIndex","EVENT_DATE","TIME_PRECISION","EVENT_TYPE","SUB_EVENT_TYPE","ACTOR1","ASSOC_ACTOR_1","INTER1","ACTOR2","ASSOC_ACTOR_2","INTER2","INTERACTION","REGION","ADMIN1","ADMIN2","ADMIN3","LOCATION","LATITUDE","LONGITUDE","GEO_PRECISION","SOURCE","SOURCE_SCALE","FATALITIES"
19,"2011-09-14",1,"Battles","Armed clash","Police Forces of Ethiopia (1995-2018)","",1,"OLF: Oromo Liberation Front","",2,12,"Eastern Africa","Addis Ababa","Addis Ababa","Addis Ababa","Addis Ababa",9.033,38.7,1,"All Africa","Regional",4
20,"2011-09-14",1,"Strategic developments","Arrests","Police Forces of Ethiopia (1995-2018)","",1,"Civilians (Ethiopia)","Journalists (Ethiopia)",7,17,"Eastern Africa","Addis Ababa","Addis Ababa","Addis Ababa","Addis Ababa",9.033,38.7,1,"Africa Research Bulletin","Other",0
21,"2011-09-16",1,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"ONLF: Ogaden National Liberation Front","",2,12,"Eastern Africa","Somali","Nogob","Fik","Hagion",8.15,42.567,1,"All Africa","Regional",2
22,"2011-09-16",1,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"ONLF: Ogaden National Liberation Front","",2,12,"Eastern Africa","Somali","Fafan","Jijiga","Jijiga",9.35,42.8,2,"All Africa","Regional",0
23,"2011-09-18",1,"Violence against civilians","Attack","ONLF: Ogaden National Liberation Front","",2,"Civilians (International)","Civilians (China)",7,27,"Eastern Africa","Somali","Jarar","Degehabur","Degeh Bur",8.221,43.557,2,"Local Source; All Africa","Subnational-Regional",30
24,"2011-09-18",1,"Violence against civilians","Attack","Military Forces of Ethiopia (1995-2018)","",1,"Civilians (Ethiopia)","",7,17,"Eastern Africa","Somali","Jarar","Degehabur","Degeh Bur",8.221,43.557,2,"All Africa; Local Source","Subnational-Regional",1
25,"2011-09-18",1,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"ONLF: Ogaden National Liberation Front","",2,12,"Eastern Africa","Somali","Jarar","Degehabur","Degeh Bur",8.221,43.557,2,"All Africa","Regional",30
26,"2011-09-20",1,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"ONLF: Ogaden National Liberation Front","",2,12,"Eastern Africa","Somali","Fafan","Kebribeyah","Kebri Beyah",9.104,43.175,1,"All Africa","Regional",0
27,"2011-09-29",1,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"OLF: Oromo Liberation Front","",2,12,"Eastern Africa","Oromia","North Shewa","Hidabu Abote","Abole",9.867,38.45,2,"All Africa","Regional",7
28,"2011-10-04",1,"Violence against civilians","Attack","Military Forces of Ethiopia (1995-2018)","",1,"Civilians (Ethiopia)","",7,17,"Eastern Africa","Somali","Fafan","Jijiga","Jijiga",9.35,42.8,3,"Local Source; All Africa","Subnational-Regional",2
29,"2011-10-12",1,"Explosions/Remote violence","Remote explosive/landmine/IED","Military Forces of Ethiopia (1995-2018)","",1,"ONLF: Ogaden National Liberation Front","",2,12,"Eastern Africa","Somali","Korahe","Shilabo","Shilabo",6.092,44.764,1,"All Africa","Regional",0
30,"2011-10-26",1,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"ONLF: Ogaden National Liberation Front","",2,12,"Eastern Africa","Oromia","East Harerghe","Babile","Babile",9.217,42.333,2,"All Africa","Regional",0
31,"2011-10-26",2,"Violence against civilians","Abduction/forced disappearance","Military Forces of Ethiopia (1995-2018)","",1,"Civilians (Ethiopia)","",7,17,"Eastern Africa","Oromia","East Harerghe","Babile","Babile",9.217,42.333,2,"All Africa","Regional",0
32,"2011-10-27",1,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"ONLF: Ogaden National Liberation Front","",2,12,"Eastern Africa","Oromia","East Harerghe","Babile","Babile",9.217,42.333,1,"All Africa","Regional",22
33,"2011-10-29",1,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"ONLF: Ogaden National Liberation Front","",2,12,"Eastern Africa","Somali","Fafan","Jijiga","Jijiga",9.35,42.8,3,"All Africa","Regional",85
34,"2011-11-07",1,"Riots","Mob violence","Police Forces of Ethiopia (1995-2018)","",1,"Rioters (Ethiopia)","",5,15,"Eastern Africa","Somali","Fafan","Jijiga","Jijiga",9.35,42.8,3,"All Africa","Regional",1
35,"2011-11-07",1,"Strategic developments","Arrests","Police Forces of Ethiopia (1995-2018)","",1,"Civilians (Ethiopia)","",7,17,"Eastern Africa","Somali","Fafan","Jijiga","Jijiga",9.35,42.8,3,"All Africa","Regional",0
36,"2011-11-16",1,"Battles","Non-state actor overtakes territory","Military Forces of Ethiopia (1995-2018)","",1,"ONLF: Ogaden National Liberation Front","",2,12,"Eastern Africa","Somali","Jarar","Degehabur","Degeh Bur",8.221,43.557,1,"All Africa","Regional",12
37,"2011-11-18",1,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"ONLF: Ogaden National Liberation Front","",2,12,"Eastern Africa","Oromia","North Shewa","Kuyu","Kuyu",9.8,38.4,1,"All Africa","Regional",7
38,"2011-11-20",1,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"OLF: Oromo Liberation Front","",2,12,"Eastern Africa","Oromia","North Shewa","Minjar Shenkora","Arertu",8.933,39.417,1,"All Africa","Regional",5
39,"2011-12-06",2,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"ONLF: Ogaden National Liberation Front","",2,12,"Eastern Africa","Somali","Jarar","Degehamedo","Daga Medo",7.983,43.017,1,"All Africa","Regional",0
40,"2011-12-06",2,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"ONLF: Ogaden National Liberation Front","",2,12,"Eastern Africa","Somali","Nogob","Dihun","Dihun",7.217,42.7,1,"All Africa","Regional",7
41,"2011-12-06",2,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"ONLF: Ogaden National Liberation Front","",2,12,"Eastern Africa","Oromia","West Wellega","Dale Wabera","Garbo",9.033,35.05,1,"All Africa","Regional",7
42,"2011-12-06",2,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"ONLF: Ogaden National Liberation Front","",2,12,"Eastern Africa","Somali","Fafan","Jijiga","Jijiga",9.35,42.8,2,"All Africa","Regional",9
43,"2011-12-06",2,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"ONLF: Ogaden National Liberation Front","",2,12,"Eastern Africa","Somali","Korahe","Kebridehar","Kebri Dehar",6.74,44.278,1,"All Africa","Regional",7
44,"2011-12-19",1,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"OLF: Oromo Liberation Front","",2,12,"Eastern Africa","Oromia","North Shewa","Debre Libanos","North Shewa Zone",9.669,38.812,1,"All Africa","Regional",6
45,"2012-01-01",3,"Violence against civilians","Sexual violence","Military Forces of Ethiopia (1995-2018)","",1,"Civilians (Ethiopia)","Mekan Ethnic Group (Ethiopia); Women (Ethiopia)",7,17,"Eastern Africa","Southern Nations","South Omo","Bako Gazer","Jinka",5.283,36.767,2,"The Oakland Insitute","Other",0
46,"2012-01-01",3,"Violence against civilians","Sexual violence","Military Forces of Ethiopia (1995-2018)","",1,"Civilians (Ethiopia)","Mursi Ethnic Group (Ethiopia); Mekan Ethnic Group (Ethiopia); Prisoners (Ethiopia)",7,17,"Eastern Africa","Southern Nations","Bench Maji","Debub Bench","Mizan Teferi",6.983,35.583,2,"The Oakland Insitute","Other",0
47,"2012-01-15",2,"Violence against civilians","Attack","Police Forces of Ethiopia (1995-2018) Prison Guards","",1,"Civilians (Ethiopia)","Mekan Ethnic Group (Ethiopia)",7,17,"Eastern Africa","Southern Nations","South Omo","Bako Gazer","Jinka",5.283,36.767,2,"Republica (Africa)","Regional",3
48,"2012-01-16",1,"Violence against civilians","Attack","ARDUF: Afar Revolutionary Democratic Unity Front","",2,"Civilians (International)","",7,27,"Eastern Africa","Afar","Zone 4","Teru","Erta Are Volcanic Site",12.607,40.662,1,"Chron News","International",5
49,"2012-02-01",2,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"Mekan Ethnic Militia (Ethiopia)","",4,14,"Eastern Africa","Southern Nations","South Omo","Bako Gazer","Jinka",5.283,36.767,2,"The Oakland Insitute","Other",1
50,"2012-02-03",1,"Battles","Armed clash","OLF: Oromo Liberation Front","",2,"TPLF: Tigray Peoples Liberation Front","",3,23,"Eastern Africa","Somali","Fafan","Jijiga","Jijiga",9.35,42.8,3,"All Africa","Regional",1
51,"2012-02-12",1,"Violence against civilians","Attack","Police Forces of Ethiopia (1995-2018) Liyu Police","",1,"Civilians (Ethiopia)","",7,17,"Eastern Africa","Somali","Jarar","Gashamo","Misrak Gashamo",8.1,45.367,1,"All Africa","Regional",5
52,"2012-02-16",2,"Violence against civilians","Attack","Military Forces of Ethiopia (1995-2018)","",1,"Civilians (Ethiopia)","",7,17,"Eastern Africa","Somali","Jarar","Degehabur","Degeh Bur",8.221,43.557,2,"Local Source; All Africa","Subnational-Regional",30
53,"2012-02-19",1,"Violence against civilians","Attack","Military Forces of Ethiopia (1995-2018)","Police Forces of Ethiopia (1995-2018) Liyu Police",1,"Civilians (Ethiopia)","",7,17,"Eastern Africa","Somali","Korahe","Kebridehar","Abshir",7,44,2,"Local Source; All Africa","Subnational-Regional",5
54,"2012-02-19",1,"Violence against civilians","Attack","Military Forces of Ethiopia (1995-2018)","Police Forces of Ethiopia (1995-2018) Liyu Police",1,"Civilians (Ethiopia)","",7,17,"Eastern Africa","Somali","Korahe","Kebridehar","Abshir",7,44,2,"All Africa; Local Source","Subnational-Regional",5
55,"2012-02-20",1,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"ONLF: Ogaden National Liberation Front","",2,12,"Eastern Africa","Somali","Jarar","Aware","Lafta Kalajehan",8.266,44.179,2,"All Africa","Regional",0
56,"2012-02-27",1,"Violence against civilians","Sexual violence","Military Forces of Ethiopia (1995-2018)","",1,"Civilians (Ethiopia)","Women (Ethiopia)",7,17,"Eastern Africa","Oromia","Bale","Lege Hida","Laga Hida",7.933,41.067,1,"Local Source; All Africa","Subnational-Regional",0
57,"2012-03-12",1,"Violence against civilians","Attack","Unidentified Armed Group (Ethiopia)","",3,"Civilians (Ethiopia)","",7,37,"Eastern Africa","Gambela Peoples","Agnuak","Gambela Zuria","Gambella",8.25,34.583,3,"AFP","International",19
58,"2012-03-16",1,"Strategic developments","Arrests","Military Forces of Ethiopia (1995-2018)","",1,"Civilians (Ethiopia)","",7,17,"Eastern Africa","Somali","Jarar","Gashamo","Bilel Ogaden",8.531,44.795,2,"All Africa","Regional",0
59,"2012-03-16",1,"Riots","Violent demonstration","Police Forces of Ethiopia (1995-2018)","",1,"Rioters (Ethiopia)","",5,15,"Eastern Africa","Somali","Jarar","Gashamo","Adaada",8.1,45.367,2,"All Africa","Regional",7
60,"2012-03-16",1,"Violence against civilians","Attack","Police Forces of Ethiopia (1995-2018)","",1,"Civilians (Ethiopia)","",7,17,"Eastern Africa","Somali","Jarar","Gashamo","Adaada",8.1,45.367,2,"All Africa","Regional",1
61,"2012-03-19",1,"Violence against civilians","Attack","OLF: Oromo Liberation Front","",2,"Civilians (Ethiopia)","",7,27,"Eastern Africa","Addis Ababa","Addis Ababa","Addis Ababa","Addis Ababa",9.033,38.7,1,"All Africa; Local Source","Subnational-Regional",22
62,"2012-03-22",1,"Violence against civilians","Attack","Police Forces of Ethiopia (1995-2018) Liyu Police","",1,"Civilians (Ethiopia)","",7,17,"Eastern Africa","Somali","Jarar","Gashamo","Adaada",8.1,45.367,2,"All Africa","Regional",12
63,"2012-03-28",1,"Battles","Armed clash","OLF: Oromo Liberation Front","",2,"Military Forces of Ethiopia (1995-2018)","",1,12,"Eastern Africa","Oromia","Illubabor","Bedele","Bedele",8.456,36.353,1,"All Africa","Regional",2
64,"2012-04-10",1,"Battles","Armed clash","ONLF: Ogaden National Liberation Front","",2,"Military Forces of Ethiopia (1995-2018)","",1,12,"Eastern Africa","Somali","Fafan","Jijiga","Jijiga",9.35,42.8,3,"All Africa","Regional",1
65,"2012-04-10",1,"Battles","Armed clash","ONLF: Ogaden National Liberation Front","",2,"Military Forces of Ethiopia (1995-2018)","",1,12,"Eastern Africa","Somali","Fafan","Jijiga","Jijiga",9.35,42.8,3,"All Africa","Regional",1
66,"2012-04-11",1,"Battles","Armed clash","ONLF: Ogaden National Liberation Front","",2,"Military Forces of Ethiopia (1995-2018)","",1,12,"Eastern Africa","Somali","Jarar","Degehabur","Degeh Bur",8.221,43.557,1,"All Africa","Regional",0
67,"2012-04-11",1,"Battles","Armed clash","ONLF: Ogaden National Liberation Front","",2,"Military Forces of Ethiopia (1995-2018)","",1,12,"Eastern Africa","Somali","Fafan","Jijiga","Jijiga",9.35,42.8,3,"All Africa","Regional",3
68,"2012-04-11",1,"Violence against civilians","Attack","EUFF: Ethiopian Unity and Freedom Force","",2,"Civilians (Ethiopia)","",7,27,"Eastern Africa","Amhara","North Gondar","Metema","Metema",12.967,36.2,1,"All Africa; Local Source","Subnational-Regional",0
69,"2012-04-13",1,"Battles","Armed clash","OLF: Oromo Liberation Front","",2,"Military Forces of Ethiopia (1995-2018)","",1,12,"Eastern Africa","Gambela Peoples","Agnuak","Gambela Zuria","Gambella",8.25,34.583,3,"All Africa","Regional",0
70,"2012-04-15",1,"Violence against civilians","Abduction/forced disappearance","Military Forces of Eritrea (1993-)","",8,"Civilians (Ethiopia)","",7,78,"Eastern Africa","Afar","Zone 1","Dubti","Semera",11.794,41.006,3,"AFP","International",0
71,"2012-04-15",1,"Battles","Armed clash","ONLF: Ogaden National Liberation Front","",2,"Military Forces of Ethiopia (1995-2018)","",1,12,"Eastern Africa","Somali","Korahe","Kebridehar","Jerar",8.87,43.162,3,"All Africa","Regional",0
72,"2012-04-15",1,"Battles","Armed clash","ONLF: Ogaden National Liberation Front","",2,"Military Forces of Ethiopia (1995-2018)","",1,12,"Eastern Africa","Somali","Korahe","Kebridehar","Kebri Dehar",6.74,44.278,1,"All Africa","Regional",1
73,"2012-04-16",1,"Battles","Armed clash","ONLF: Ogaden National Liberation Front","",2,"Military Forces of Ethiopia (1995-2018)","",1,12,"Eastern Africa","Somali","Jarar","Degehabur","Degeh Bur",8.221,43.557,3,"All Africa","Regional",12
74,"2012-04-17",1,"Battles","Armed clash","ONLF: Ogaden National Liberation Front","",2,"Military Forces of Ethiopia (1995-2018)","",1,12,"Eastern Africa","Somali","Korahe","Kebridehar","Kebri Dehar",6.74,44.278,1,"All Africa","Regional",0
75,"2012-04-26",2,"Strategic developments","Arrests","Police Forces of Ethiopia (1995-2018)","",1,"Civilians (Ethiopia)","Muslim Group (Ethiopia)",7,17,"Eastern Africa","Oromia","Arsi","Gedeb Asasa","Asasa",7.1,39.2,1,"Bloomberg","International",0
76,"2012-04-28",1,"Violence against civilians","Attack","Unidentified Armed Group (Ethiopia)","",3,"Civilians (Ethiopia)","Civilians (International)",7,37,"Eastern Africa","Gambela Peoples","Agnuak","Gambela Zuria","Gambella",8.25,34.583,3,"Local Source; All Africa","Subnational-Regional",10
77,"2012-04-28",1,"Battles","Armed clash","EUFF: Ethiopian Unity and Freedom Force","",2,"TPLF: Tigray Peoples Liberation Front","",3,23,"Eastern Africa","Amhara","North Gondar","Metema","Metema",12.967,36.2,1,"All Africa","Regional",0
78,"2012-04-29",1,"Battles","Armed clash","GDM: Gambelan Democratic Movement","",2,"Military Forces of Ethiopia (1995-2018)","",1,12,"Eastern Africa","Gambela Peoples","Agnuak","Gambela Zuria","Gambella",8.25,34.583,1,"All Africa","Regional",0
79,"2012-05-02",1,"Violence against civilians","Attack","Military Forces of Ethiopia (1995-2018)","",1,"Civilians (Ethiopia)","",7,17,"Eastern Africa","Gambela Peoples","Agnuak","Gambela Zuria","Gambella",8.25,34.583,3,"Nazret","National",5
80,"2012-05-04",1,"Protests","Peaceful protest","Protesters (Ethiopia)","",6,"","",0,60,"Eastern Africa","Addis Ababa","Addis Ababa","Addis Ababa","Addis Ababa",9.033,38.7,1,"Anyuak Media","National",0
81,"2012-05-06",1,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"Anuak Ethnic Militia (Ethiopia)","",4,14,"Eastern Africa","Gambela Peoples","Agnuak","Abobo","Abobo",7.85,34.55,2,"Sudan Tribune","Regional",0
82,"2012-05-07",1,"Protests","Protest with intervention","Police Forces of Ethiopia (1995-2018)","",1,"Protesters (Ethiopia)","Students (Ethiopia)",6,16,"Eastern Africa","Amhara","East Gojam","Debre Markos","Debre Markos",10.35,37.733,1,"All Africa","Regional",0
83,"2012-05-08",1,"Protests","Protest with intervention","Police Forces of Ethiopia (1995-2018)","",1,"Protesters (Ethiopia)","Students (Ethiopia)",6,16,"Eastern Africa","Amhara","East Gojam","Debre Markos","Debre Markos",10.35,37.733,1,"All Africa","Regional",0
84,"2012-05-09",1,"Protests","Protest with intervention","Police Forces of Ethiopia (1995-2018)","",1,"Protesters (Ethiopia)","Students (Ethiopia)",6,16,"Eastern Africa","Amhara","Bar Dar Sp. Zone","Bahir Dar Zuria","Bahir Dar",11.6,37.383,1,"All Africa","Regional",0
85,"2012-05-09",1,"Protests","Protest with intervention","Police Forces of Ethiopia (1995-2018)","",1,"Protesters (Ethiopia)","Students (Ethiopia)",6,16,"Eastern Africa","Amhara","North Gondar","Gonder Zuria","Gonder",12.6,37.467,1,"All Africa","Regional",0
86,"2012-05-15",3,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"Suri Ethnic Militia (Ethiopia)","",4,14,"Eastern Africa","Southern Nations","Bench Maji","Maji","Maji",6.2,35.583,1,"Guardian","International",65
87,"2012-05-17",2,"Violence against civilians","Attack","Police Forces of Ethiopia (1995-2018)","",1,"Civilians (Ethiopia)","Muslim Group (Ethiopia)",7,17,"Eastern Africa","Addis Ababa","Addis Ababa","Addis Ababa","Addis Ababa",9.033,38.7,1,"All Africa; Local Source","Subnational-Regional",1
88,"2012-05-27",1,"Violence against civilians","Attack","Military Forces of Ethiopia (1995-2018)","",1,"Civilians (Ethiopia)","",7,17,"Eastern Africa","Somali","Jarar","Degehabur","Gerigoan",8.2,43.617,1,"All Africa; Local Source","Subnational-Regional",18
89,"2012-05-31",1,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"ONLF: Ogaden National Liberation Front","",2,12,"Eastern Africa","Somali","Jarar","Degehabur","Birqod",7.596,43.774,1,"All Africa","Regional",50
90,"2012-05-31",1,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"ONLF: Ogaden National Liberation Front","",2,12,"Eastern Africa","Somali","Fafan","Jijiga","Jijiga",9.35,42.8,2,"All Africa","Regional",19
91,"2012-05-31",1,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"ONLF: Ogaden National Liberation Front","",2,12,"Eastern Africa","Somali","Jarar","Degehabur","Obole",8.417,43.333,2,"All Africa","Regional",98
92,"2012-06-04",1,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"OLF: Oromo Liberation Front","",2,12,"Eastern Africa","Oromia","North Shewa","Bereh","Shewa",9,39,2,"All Africa","Regional",7
93,"2012-06-05",1,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"OLF: Oromo Liberation Front","",2,12,"Eastern Africa","Addis Ababa","Addis Ababa","Addis Ababa","Addis Ababa",9.033,38.7,1,"All Africa","Regional",2
94,"2012-06-08",1,"Strategic developments","Looting/property destruction","Police Forces of Ethiopia (1995-2018)","",1,"Civilians (Ethiopia)","",7,17,"Eastern Africa","Somali","Jarar","Degehabur","Degeh Bur",8.221,43.557,1,"All Africa","Regional",0
95,"2012-06-10",1,"Violence against civilians","Sexual violence","Military Forces of Ethiopia (1995-2018)","",1,"Civilians (Ethiopia)","Ogaden Ethnic Group (Ethiopia)",7,17,"Eastern Africa","Somali","Jarar","Gunagado","Dig",7.813,44.436,1,"All Africa; Local Source","Subnational-Regional",0
96,"2012-06-10",1,"Violence against civilians","Attack","Military Forces of Ethiopia (1995-2018)","",1,"Civilians (Ethiopia)","Ogaden Ethnic Group (Ethiopia)",7,17,"Eastern Africa","Somali","Liben","Dolo Odo","Dolo Odo",4.179,42.059,2,"Local Source; All Africa","Subnational-Regional",0
97,"2012-06-13",1,"Strategic developments","Looting/property destruction","EUFF: Ethiopian Unity and Freedom Force","",2,"","",0,20,"Eastern Africa","Amhara","North Gondar","Gonder Zuria","Gonder",12.6,37.467,2,"All Africa","Regional",0
98,"2012-06-13",1,"Violence against civilians","Attack","Military Forces of Ethiopia (1995-2018)","",1,"Civilians (Ethiopia)","Ogaden Ethnic Group (Ethiopia)",7,17,"Eastern Africa","Somali","Korahe","Kebridehar","Kebri Dehar",6.74,44.278,3,"All Africa; Local Source","Subnational-Regional",1
99,"2012-06-14",1,"Battles","Armed clash","Afar Ethnic Militia (Ethiopia)","",4,"Issa Clan Militia (Somalia)","",4,44,"Eastern Africa","Afar","Zone 1","Dubti","Dubti",11.736,41.085,1,"All Africa","Regional",3
100,"2012-06-15",1,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"OLF: Oromo Liberation Front","",2,12,"Eastern Africa","Oromia","West Shewa","Dendi","Ketema",9.05,38.317,1,"All Africa","Regional",4
101,"2012-06-19",2,"Riots","Mob violence","Rioters (Ethiopia)","Sidama Ethnic Militia (Ethiopia)",5,"Rioters (Ethiopia)","Unidentified Ethnic Militia (Ethiopia)",5,55,"Eastern Africa","Oromia","West Shewa","Jeldu","Loge",9.367,37.9,1,"Africa News; All Africa","Regional",0
102,"2012-06-20",1,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"OLF: Oromo Liberation Front","",2,12,"Eastern Africa","Oromia","North Shewa","Degem","Gulele",9.783,38.667,1,"Africa News; All Africa","Regional",9
103,"2012-06-26",1,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"Militia (Gen. Peter Kuol Chol)","",3,13,"Eastern Africa","Gambela Peoples","Agnuak","Gambela Zuria","Gambella",8.25,34.583,3,"Sudan Tribune","Regional",0
104,"2012-07-01",1,"Violence against civilians","Attack","Military Forces of Ethiopia (1995-2018)","",1,"Civilians (Ethiopia)","",7,17,"Eastern Africa","Somali","Fafan","Jijiga","Jijiga",9.35,42.8,2,"ONA","National",21
105,"2012-07-11",1,"Battles","Armed clash","Military Forces of Ethiopia (1995-2018)","",1,"Unidentified Armed Group (Ethiopia)","",3,13,"Eastern Africa","Oromia","Horo Gudru Welega","Horo","Limu",9.6,37.083,2,"Voice of Oromo Liberation","Subnational",9
106,"2012-07-12",1,"Protests","Peaceful protest","Protesters (Ethiopia)","Muslim Group (Ethiopia)",6,"","",0,60,"Eastern Africa","Amhara","South Wollo","Tenta","Amhara",11.167,39.167,2,"EBC","National",0
