d3mIndex,sftpcons,sftptv2a3,sftptv2a4,sftptv2a5,sftptv2a2,sftptv2a6,logim,maccat,disp4cat,stratidc
95,0,0,0,0,1,0,-0.6778983000000001,0,0,197641
96,0,0,0,0,1,0,-1.231531,0,0,198241
97,0,0,0,0,0,0,-0.6403597,0,0,196641
98,0,0,0,0,0,0,-1.274782,0,0,197842
99,1,0,1,0,0,0,-1.149861,0,1,196331
100,1,0,1,0,0,0,-1.704748,0,1,197431
101,1,0,0,0,0,0,-1.472299,0,1,196831
102,0,0,0,0,0,0,-1.413065,0,1,198931
103,0,0,0,0,1,0,-1.83058,0,0,199131
104,1,0,0,0,0,1,-0.02139577,0,1,196341
105,0,1,0,0,0,0,-0.06354596,0,1,197141
106,0,1,0,0,0,0,-0.06047339,0,1,197842
107,1,0,1,0,0,0,-0.3326801,0,1,197041
108,0,0,0,0,0,0,0.4460386,0,1,195951
109,0,0,0,0,0,0,0.2177667,0,1,197151
110,0,0,0,0,0,0,0.3426717,0,0,197551
111,1,0,0,0,0,0,0.4177856,0,0,199251
112,0,0,1,0,0,0,-1.068398,0,1,199631
113,1,0,0,0,0,0,0.4476655,0,1,196111
114,1,0,1,0,0,0,1.0717290000000002,0,0,199911
115,0,0,0,0,1,0,-1.736579,0,0,196331
116,1,0,0,1,0,0,-0.9519272,0,0,198721
117,1,0,0,0,1,0,-0.9989649,0,0,195831
118,0,0,0,0,1,0,-1.525041,0,0,196331
119,0,0,0,0,1,0,-1.61717,0,1,196731
120,0,0,0,0,1,0,-1.636616,0,0,197131
121,0,0,0,0,1,0,-1.6600119999999998,0,0,197431
122,0,0,0,0,1,0,-1.847079,0,1,199531
123,0,0,0,0,0,0,0.4253065,0,0,196311
124,0,0,0,0,0,0,0.4694194,0,0,196611
125,0,0,0,0,0,0,0.485213,0,0,197311
126,0,0,0,0,0,0,0.4193957,0,0,199112
127,0,0,0,0,0,0,0.4451576,0,0,199611
128,0,0,0,0,1,0,0.2130205,0,0,197211
129,1,0,0,0,1,0,0.789774,0,0,199411
130,0,0,0,0,0,0,0.7891619000000001,0,0,199811
131,0,0,0,0,0,0,-1.254034,0,0,196331
132,0,0,0,0,0,0,-0.08558992,0,0,196211
133,0,0,0,0,0,0,-0.2354528,0,0,196711
134,1,1,0,0,0,0,-0.1833498,0,0,197212
135,1,0,1,0,0,0,0.09138186,0,0,198111
136,0,0,0,0,0,0,0.3054695,0,0,198511
137,0,0,0,0,0,0,0.3500353,0,0,198812
138,0,0,0,0,0,0,0.8138274999999999,0,0,198311
139,1,0,1,0,0,0,1.141603,0,0,199811
140,0,1,0,0,0,0,-0.7741631,0,1,195631
141,1,1,0,0,0,0,-1.168512,0,1,196731
142,0,0,0,0,1,0,-1.669311,0,1,199131
143,0,0,0,0,0,0,0.30583530000000003,0,1,196141
144,1,0,0,0,0,0,0.07210329,0,1,196642
145,0,0,0,0,0,0,0.8104511,0,0,196111
146,0,0,0,0,0,0,0.5333675999999999,0,0,196411
147,0,0,0,0,0,0,0.5556437,0,0,197212
148,0,0,0,0,0,0,0.8255290000000001,0,0,198812
149,0,0,0,0,0,0,0.8654323,0,0,199211
150,0,0,0,0,0,0,0.9606891,0,0,199611
151,0,1,0,0,0,0,1.105788,0,0,200211
152,0,1,0,0,0,0,-0.3285041,0,1,196841
153,1,1,0,0,0,0,-0.2557317,0,1,197841
154,0,0,1,0,0,0,0.07902199,0,1,199941
155,0,0,0,0,0,0,0.3257436,0,0,196841
156,0,0,0,0,0,0,0.4618862,0,0,197741
157,1,0,0,0,0,0,0.7767291999999999,0,0,199141
158,1,0,1,0,0,0,0.8270101000000001,0,0,199941
159,0,1,0,0,0,0,-0.03781447,0,1,196842
160,0,1,0,0,0,0,-0.1131297,0,0,197741
161,1,0,0,0,0,0,-0.3575091,0,1,195631
162,0,0,0,0,1,0,-1.098612,0,0,199431
163,1,0,0,1,0,0,0.4554281,0,1,195622
164,0,0,0,1,0,0,0.5078037999999999,0,1,196121
165,1,0,0,1,0,0,0.2521699,0,1,196721
166,0,0,0,1,0,0,0.4131597,0,1,197421
167,1,0,1,0,0,0,0.5052803,0,1,198321
168,0,0,0,0,1,0,-1.586855,0,0,197131
169,0,0,0,0,1,0,-1.87934,0,0,199531
170,0,0,0,0,0,0,0.5600516999999999,0,1,195851
171,0,0,0,0,0,0,0.403725,0,1,196251
172,0,0,0,0,0,0,0.2377466,0,1,197051
173,1,0,0,0,0,0,0.2659933,0,1,197751
174,1,1,0,0,0,0,0.47478,0,0,195951
175,1,0,0,0,0,0,0.1939271,0,1,198051
176,0,0,0,0,1,0,-1.021867,0,1,195751
177,0,0,0,0,1,0,-1.22425,0,1,196251
178,0,0,0,0,1,0,-1.371453,0,1,196551
179,0,0,0,1,0,0,-1.434092,0,1,197151
180,0,0,0,1,0,0,-1.279725,0,1,197551
181,0,0,0,1,0,0,-1.418883,0,1,197851
182,0,0,0,1,0,0,-1.473551,0,1,198151
183,1,0,0,1,0,0,-1.727445,0,1,198751
184,0,0,0,0,1,0,-1.095245,0,0,196831
185,0,0,0,0,1,0,-1.687909,0,0,198931
186,0,0,0,0,1,0,-1.631417,0,0,199431
187,0,0,0,0,0,0,0.2847141,0,1,196312
188,0,0,0,0,0,0,0.3850456,0,1,197212
189,0,0,0,0,0,0,0.537423,0,1,198111
190,0,0,0,0,0,0,0.6736661,0,1,198411
191,0,0,0,0,0,0,0.8566985999999999,0,1,199211
192,0,0,0,0,0,0,1.009079,0,1,199711
193,1,0,1,0,0,0,1.147794,0,1,200211
194,0,0,0,0,1,0,-0.8226812,0,0,196642
195,0,0,0,0,1,0,-0.8864523999999999,0,0,197141
196,0,0,0,0,1,0,-0.8014486,0,0,197641
197,0,0,0,0,1,0,-0.8293389999999999,0,0,198241
198,1,1,0,0,0,0,0.2034966,0,0,195751
199,1,0,0,0,0,0,-0.13596979999999995,0,0,197051
200,0,0,0,0,0,0,-0.10896010000000003,0,0,197751
201,0,0,0,0,0,0,-0.1630531,0,0,198051
202,0,0,0,0,0,0,-0.27498720000000004,0,0,198651
203,0,1,0,0,0,0,-0.3690617,0,0,199151
204,0,0,0,0,1,0,-0.9797417,0,1,196021
205,0,0,0,0,1,0,-1.903472,0,1,197021
206,0,0,0,0,1,0,-2.21583,0,1,198321
207,0,0,0,0,1,0,-2.347706,0,1,198821
208,0,0,0,0,1,0,-2.246267,0,1,199721
209,0,0,0,0,0,0,0.07253178,0,1,198011
210,0,0,0,0,0,0,0.06970946,0,1,198311
211,1,0,0,0,0,0,0.2612846,1,1,199111
212,0,1,0,0,0,0,0.7634637,0,1,200311
213,0,0,0,0,0,0,-0.4409772,0,0,196551
214,0,0,0,0,0,0,-0.8279561,0,0,197151
215,0,0,0,0,0,0,-0.8793674000000001,0,0,198051
216,0,0,0,0,0,0,-1.129608,0,0,198751
217,0,0,0,0,0,0,0.3388848,0,0,199451
218,1,0,0,0,1,0,0.5355448,1,0,196021
219,0,0,0,0,0,0,0.8083336,0,0,198721
220,0,0,0,0,0,0,0.9697479,0,0,199721
221,0,0,0,0,0,0,0.5620758000000001,0,0,196111
222,0,0,0,0,0,0,0.641461,0,0,197711
223,1,0,0,0,0,0,0.8771368,0,0,198511
224,1,0,1,0,0,0,-0.316929,0,1,195851
225,0,0,1,0,0,0,-0.6762425999999999,0,1,197052
226,1,0,1,0,0,0,-0.5461041,0,1,197551
227,1,0,0,1,0,0,0.2128619,0,0,197011
228,1,0,1,0,0,0,0.8681206,0,0,199812
229,0,0,0,0,0,0,0.616807,0,0,195951
230,0,0,0,0,0,0,0.3063113,0,0,196551
231,0,0,0,0,0,0,0.01160555,0,0,198052
232,0,0,0,0,0,0,-0.05562711,0,0,199151
233,0,0,0,0,1,0,-0.9382696,0,0,199431
234,0,0,0,0,0,0,0.1772282,0,1,196312
235,0,0,0,0,0,0,0.29475640000000003,0,1,196911
236,0,0,0,0,0,0,0.5631868,0,1,198511
237,0,0,0,0,0,0,0.7953739000000001,0,1,199511
238,0,0,0,0,0,0,0.776167,0,1,199811
239,0,1,0,0,0,0,0.3096413,0,0,196511
240,0,1,0,0,0,0,0.3808232,0,0,196911
241,0,1,0,0,0,0,0.35811279999999995,0,0,197212
242,0,0,0,0,0,0,0.4639205,0,0,198111
243,0,0,0,0,0,0,0.7316524,0,0,199211
244,0,0,0,1,0,0,0.8537624,0,0,199611
245,0,0,0,0,1,0,-0.13742520000000005,0,0,196022
246,1,0,0,0,1,0,-0.4368867,0,0,196921
247,0,0,1,0,0,0,-0.4570813,0,0,199621
248,0,0,0,1,0,0,-0.3828299000000001,0,0,197011
249,0,0,0,0,1,0,-0.757285,0,0,199112
250,0,0,0,0,1,0,-0.784119,0,0,199411
251,0,0,0,0,1,0,-0.6541305000000001,0,0,199911
252,0,0,0,0,0,0,0.6303651,0,0,196911
253,0,0,0,0,0,0,0.6687692,0,0,197311
254,0,0,0,0,0,0,0.950711,0,0,199012
255,0,0,0,1,0,0,1.04249,0,0,199711
256,0,0,0,0,0,0,-0.02178735,0,0,196141
257,0,0,0,0,0,0,-0.2820902,0,0,196642
258,0,0,0,0,0,0,-0.28437080000000003,0,0,197741
259,0,1,0,0,0,0,-0.2802074,0,0,198441
260,0,1,0,0,0,0,-0.28835029999999995,0,0,199141
261,0,0,0,0,0,0,0.4427576,0,0,196411
262,0,0,0,0,0,0,0.5213882000000001,0,0,197011
263,1,0,0,0,0,0,1.033641,0,0,199011
264,0,0,0,1,0,0,1.203973,0,0,199812
265,0,0,0,0,0,0,0.215997,0,0,195821
266,0,0,0,0,0,0,0.259542,0,0,196121
267,0,0,0,0,0,0,0.11534460000000002,0,0,197021
268,0,0,0,0,0,0,0.4646128,0,0,198321
269,0,0,0,0,0,0,0.5183445,0,0,198921
270,0,0,0,1,0,0,0.6020001,0,0,199621
271,0,1,0,0,0,0,0.5847300999999999,0,0,195851
272,1,0,1,0,0,0,0.336537,0,0,196551
273,0,0,0,0,0,0,0.2973768,0,0,197052
274,1,0,0,0,0,0,0.3605369,0,0,197552
275,1,0,1,0,0,0,0.3285903,0,1,196121
276,0,0,0,0,0,0,1.29186,0,0,199511
277,0,0,0,1,0,0,1.297873,0,0,199812
278,0,0,0,1,0,0,0.3581463,0,0,199612
279,0,0,0,1,0,0,0.4762835999999999,0,1,199911
280,0,0,0,1,0,0,0.7848385999999999,0,0,200311
281,1,0,0,0,0,1,0.6838549,0,0,196022
282,0,0,0,0,0,0,0.4274242999999999,0,0,196721
283,0,0,0,0,0,0,0.4661481,0,0,197121
284,0,1,0,0,0,0,0.5381001,0,0,198321
285,1,0,0,1,0,0,0.7584523,0,0,199621
286,0,0,0,0,1,0,-1.434112,0,1,195622
287,0,0,0,0,1,0,-1.367965,0,1,196022
288,0,0,0,0,1,0,-1.72314,0,1,196621
289,0,0,0,0,1,0,-1.7006990000000002,0,1,196921
290,0,0,0,0,1,0,-1.716336,0,0,198322
291,0,0,0,0,1,0,-1.861964,0,0,200021
292,0,0,0,0,0,0,0.2006269,0,0,196842
293,1,0,0,0,0,0,0.09734298,0,0,197842
294,1,0,1,0,0,0,0.1724864,0,0,196411
295,1,0,0,0,0,1,0.33145690000000005,0,0,198012
296,0,0,0,0,0,0,0.5525066999999999,0,1,199212
297,0,0,0,0,0,0,0.661992,0,1,199612
298,0,0,0,0,0,0,0.7037014,0,1,199911
299,0,0,0,0,0,0,0.2602125,0,0,196312
300,0,0,0,0,0,0,0.3665626,0,0,197011
301,0,0,0,0,0,0,0.4668514,0,0,197311
302,0,0,0,0,0,0,0.9217234,0,1,199012
303,1,0,1,0,0,0,1.194108,0,1,199611
304,0,0,0,0,1,0,-1.534023,0,0,195831
305,0,0,0,0,1,0,-1.960963,0,0,196831
306,0,0,0,0,1,0,-2.078191,0,0,199531
307,0,0,0,0,1,0,-1.582341,0,0,195831
308,0,0,0,0,1,0,-2.036429,0,0,196731
309,0,0,0,0,1,0,-1.973012,0,0,197431
310,0,0,0,0,1,0,-1.993098,0,0,199132
311,0,0,0,0,0,0,0.7052808,0,0,195851
312,0,0,0,0,0,0,0.5308235,0,0,196251
313,1,0,0,0,0,0,0.3597875,0,0,197052
314,0,0,0,0,0,0,-0.0421694,0,0,198751
315,1,0,0,0,0,0,0.6815595999999999,1,1,198322
316,1,0,1,0,0,0,-0.4846648,0,1,196841
317,0,0,0,0,0,0,-0.351487,0,1,196341
318,0,0,0,0,0,0,-0.3460507,0,1,196642
319,0,0,0,0,0,0,-0.4341232,0,1,197041
320,0,0,0,0,0,0,-0.3383178,0,1,197641
321,0,0,0,0,0,0,-0.2057703,0,1,198241
322,0,0,1,0,0,0,-0.06200333,0,1,199141
323,1,0,1,0,0,0,0.10555330000000003,0,0,196842
324,0,0,0,0,0,0,0.07736553,0,0,197141
325,1,0,1,0,0,0,0.2037872,0,0,198241
326,0,0,1,0,0,0,-0.1512725,0,0,195822
327,0,0,1,0,0,0,-0.140948,0,0,196122
328,1,0,1,0,0,0,-0.3340411,0,0,196922
329,1,0,1,0,0,0,0.4285933,0,1,195821
330,0,0,0,0,0,0,0.4701383,0,1,196122
331,0,0,1,0,0,0,0.2969845,0,1,196621
332,1,0,0,0,0,1,0.3194463,0,1,197121
333,1,0,0,0,1,0,0.4142316,0,1,198921
334,0,0,0,0,0,0,-0.7200108000000001,0,0,196831
335,0,0,0,0,0,0,-0.8054833,0,0,197131
336,0,0,0,1,0,0,-0.9603327,0,0,199132
337,0,0,0,0,1,0,-1.31705,0,0,198931
338,0,0,0,0,1,0,-1.524306,0,0,199532
339,0,0,0,0,0,0,-0.2652167,0,0,195822
340,0,0,0,0,0,0,-0.4623253,0,0,196921
341,0,0,0,0,0,0,-0.5070643,0,0,197221
342,0,0,0,0,0,0,-0.34078259999999994,0,0,198322
343,0,0,0,0,0,0,-0.1220242,0,0,197552
344,0,0,0,0,0,0,-0.4326919,0,0,199251
345,0,1,0,0,0,0,-0.2321823,0,0,195622
346,1,1,0,0,0,0,-0.3483965,0,0,196122
347,0,0,1,0,0,0,-0.7896361,0,0,196721
348,1,0,1,0,0,0,-0.7845595000000001,0,0,197221
349,0,0,0,0,0,0,-0.7881501999999999,0,0,198322
350,0,0,0,0,0,0,-0.9707071,0,0,198721
351,0,0,0,1,0,0,-1.499849,0,0,200021
352,1,0,0,0,0,0,0.05327247,0,1,198931
353,1,0,1,0,0,0,-0.6692796999999999,0,0,199431
354,1,1,0,0,0,0,0.339954,0,0,195822
355,0,1,0,0,0,0,0.5036054,0,1,197213
356,0,0,0,0,0,0,0.6260979,0,1,198012
357,0,0,0,0,0,0,0.7689762,0,1,198411
358,1,0,0,0,0,0,0.883864,0,1,199012
359,0,1,0,0,0,0,-0.1384697,0,1,196111
360,0,1,0,0,0,0,-0.390177,0,1,196711
361,0,1,0,0,0,0,-0.3335987,0,1,197213
362,1,1,0,0,0,0,-0.06303911,0,1,198411
363,0,1,0,0,0,0,0.1092497,0,1,197041
364,1,1,0,0,0,0,0.2231435,0,1,197741
365,0,0,0,0,0,0,0.6848443000000001,0,1,195751
366,0,0,0,0,0,0,0.07402155,0,1,197851
367,0,0,0,0,0,0,0.0,0,1,198151
368,0,0,0,0,0,0,-0.1281599,0,1,198751
369,1,1,0,0,0,0,0.11244769999999997,0,0,196211
370,0,0,0,0,0,0,0.004069642,0,0,196711
371,0,1,0,0,0,0,0.27259179999999994,0,0,198311
372,1,1,0,0,0,0,0.4054651,0,1,199211
373,1,0,1,0,0,0,0.6524574000000001,0,0,196711
374,1,0,0,0,0,0,1.23631,0,1,199112
375,0,1,0,0,0,0,-1.567623,0,0,197121
376,0,1,0,0,0,0,-1.488162,0,0,197421
377,0,1,0,0,0,0,-1.778029,0,0,198323
378,0,1,0,0,0,0,-1.7991400000000002,0,0,198821
379,0,0,1,0,0,0,-1.326775,0,1,199532
380,0,0,0,1,0,0,0.6809837,0,0,196411
381,1,0,0,1,0,0,0.7692815,0,0,196911
382,1,0,0,0,0,0,0.9294392,0,1,198812
383,0,0,0,0,1,0,-1.855897,0,0,199132
384,0,0,0,1,0,0,-0.4478373,0,1,196122
385,0,0,0,1,0,0,-0.6838448,0,1,196621
386,0,0,0,1,0,0,-0.6612083000000001,0,1,196922
387,1,0,1,0,0,0,-0.7008573,0,1,198323
388,1,0,0,0,0,0,0.3987864,1,0,198311
389,1,0,1,0,0,0,0.5332328000000001,0,0,197311
390,0,0,0,0,0,0,0.2410189,0,0,199112
391,0,0,0,0,0,0,0.3559501,0,0,199411
392,0,0,0,0,1,0,-2.461917,0,0,199831
393,0,0,0,0,1,0,-2.078215,0,1,199631
394,0,0,0,0,0,0,0.007279819,0,0,197052
395,1,0,0,0,0,0,-0.08139133,1,0,198151
396,0,0,0,0,0,0,-0.01038431,1,0,199251
397,0,0,0,0,0,0,-0.3314266,0,1,195622
398,0,0,0,0,0,0,-0.1926027,0,1,196022
399,0,0,0,0,0,0,-0.6623618,0,1,196521
400,0,0,0,0,0,0,-0.8462841999999998,0,1,196922
401,0,0,0,0,0,0,-1.028182,0,1,197221
402,0,0,0,0,0,0,-1.071338,0,1,198323
403,0,0,0,0,0,0,-0.9995553,0,1,198721
404,0,0,0,0,0,0,0.5375605999999999,0,0,196511
405,0,0,0,0,0,0,0.4935567,0,0,198012
406,0,0,0,0,0,0,0.6037935000000001,0,0,198812
407,0,0,0,0,0,0,0.7658522,0,0,199212
408,0,1,0,0,0,0,1.026292,0,0,199812
409,0,1,0,0,0,0,-0.04048295,0,0,195822
410,1,0,0,0,0,0,-0.2884375,0,0,196521
411,0,0,0,0,0,0,0.4416295,0,0,196211
412,0,0,0,0,0,0,0.3897662,0,0,196611
413,0,0,0,0,0,0,0.4460815,0,0,197213
414,0,0,0,0,0,0,0.4950299,0,0,197711
415,0,0,0,0,0,0,0.4506873,0,0,198012
416,0,1,0,0,0,0,0.6645204,0,0,199612
417,0,1,0,0,0,0,0.7985076999999999,0,0,200211
418,0,0,1,0,0,0,-0.7350644000000001,0,0,197341
419,0,0,1,0,0,0,-0.7691649,0,0,197842
420,0,0,1,0,0,0,-0.7596169,0,0,198441
421,0,0,0,0,1,0,-0.1733434,0,0,199941
422,0,0,0,0,0,0,0.3537687,0,0,197552
423,0,0,0,0,0,0,0.1299582,0,0,198052
424,0,0,0,0,0,0,-0.09758549,0,0,199251
425,0,0,1,0,0,0,0.5474150999999999,0,1,195951
426,1,0,0,1,0,0,0.2453383,0,1,197151
427,1,0,0,1,0,0,0.3117101,0,1,198052
428,0,0,0,0,0,0,-0.5254422,0,0,197552
429,0,0,0,0,0,0,-0.6413352,0,0,198052
430,0,0,0,0,0,0,-0.6290443,0,0,198651
431,0,0,0,0,0,0,-0.6752718000000001,0,0,199151
432,0,0,0,0,0,0,-0.5965204000000001,0,0,199451
433,1,0,0,1,0,0,0.1689932,1,1,196611
434,1,0,0,0,1,0,-1.688984,0,1,197131
435,0,0,0,0,1,0,-1.847551,0,0,199831
436,0,0,0,1,0,0,-0.5179431,0,0,199532
437,0,0,0,0,1,0,-0.8838014000000001,0,0,196341
438,1,0,0,0,1,0,-0.6589808000000001,0,0,197141
439,1,0,0,0,0,0,-0.1235612,1,0,199131
440,0,0,0,1,0,0,-0.1978522,0,1,196341
441,0,0,0,1,0,0,-0.2147452,0,1,196842
442,1,1,0,0,0,0,0.5572421999999999,0,0,196251
443,0,0,0,0,0,0,0.5291682,0,0,197851
444,0,0,0,0,0,0,0.7189439999999999,0,0,198651
445,1,0,0,0,0,1,0.7063446999999999,0,0,199451
446,1,0,0,0,0,0,-0.7114005999999999,0,1,199831
447,0,0,0,0,0,0,0.4492677,0,0,197751
448,0,0,0,0,0,0,0.4596742,0,0,198151
449,1,0,0,0,0,0,0.616221,0,0,198651
450,1,0,0,0,0,0,0.6242875,0,1,197711
451,0,0,0,0,0,0,0.8081439,0,1,198511
452,1,0,0,0,0,0,0.9204144,1,1,199212
453,1,0,1,0,0,0,0.9597498,0,0,199612
454,1,1,0,0,0,0,-0.2723835,0,1,197213
455,0,0,0,0,0,0,0.07558268,0,1,199212
